ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
syp03010	Ribosome	53	0.7297098896015815	2.7596598421048535	7.406255541718343e-13	5.999066988791858e-11	4.4437533250310063e-11	584	tags=62%, list=18%, signal=52%	SYNPCC7002_A1027/SYNPCC7002_A1052/SYNPCC7002_A1026/SYNPCC7002_A1053/SYNPCC7002_A1959/SYNPCC7002_A1051/SYNPCC7002_A1050/SYNPCC7002_A1054/SYNPCC7002_A1055/SYNPCC7002_A1028/SYNPCC7002_A1059/SYNPCC7002_A1057/SYNPCC7002_A1060/SYNPCC7002_A1048/SYNPCC7002_A1056/SYNPCC7002_A1061/SYNPCC7002_A1049/SYNPCC7002_A1058/SYNPCC7002_A1062/SYNPCC7002_A1064/SYNPCC7002_A1065/SYNPCC7002_A1063/SYNPCC7002_A1029/SYNPCC7002_A2060/SYNPCC7002_A1038/SYNPCC7002_A1041/SYNPCC7002_A1039/SYNPCC7002_A1037/SYNPCC7002_A2063/SYNPCC7002_A0955/SYNPCC7002_A1033/SYNPCC7002_A1044/SYNPCC7002_A1043
syp00920	Sulfur metabolism	15	0.7675513038950359	2.059175849178751	9.564204064448594e-5	0.0038735026461016804	0.0028692612193345784	482	tags=60%, list=15%, signal=51%	SYNPCC7002_A0795/SYNPCC7002_A0797/SYNPCC7002_A0798/SYNPCC7002_A1494/SYNPCC7002_A0799/SYNPCC7002_A1344/SYNPCC7002_A0034/SYNPCC7002_A0907/SYNPCC7002_A1646
syp00190	Oxidative phosphorylation	53	-0.5593003395828703	-1.914934965973214	3.578271337487104e-4	0.00966133261121518	0.007156542674974209	418	tags=45%, list=13%, signal=40%	SYNPCC7002_A0195/SYNPCC7002_A2750/SYNPCC7002_A2749/SYNPCC7002_A0560/SYNPCC7002_A2748/SYNPCC7002_A0835/SYNPCC7002_A0923/SYNPCC7002_A0924/SYNPCC7002_A1094/SYNPCC7002_A2000/SYNPCC7002_A2547/SYNPCC7002_G0151/SYNPCC7002_G0144/SYNPCC7002_A0926/SYNPCC7002_G0150/SYNPCC7002_A0925/SYNPCC7002_G0152/SYNPCC7002_G0149/SYNPCC7002_A2541/SYNPCC7002_G0148/SYNPCC7002_G0145/SYNPCC7002_A1143/SYNPCC7002_A0173/SYNPCC7002_A0172
syp00790	Folate biosynthesis	21	0.6323580788752199	1.8681729347019764	0.002327379232062116	0.047129429449257854	0.03491068848093175	616	tags=52%, list=19%, signal=43%	SYNPCC7002_A1294/SYNPCC7002_A0307/SYNPCC7002_A2444/SYNPCC7002_A0306/SYNPCC7002_A0427/SYNPCC7002_A0457/SYNPCC7002_A0380/SYNPCC7002_A2855/SYNPCC7002_A0280/SYNPCC7002_A0771/SYNPCC7002_A0281
syp01212	Fatty acid metabolism	13	0.6873909300083781	1.7640556775731604	0.005296444910782056	0.0484590239984145	0.03589557333215889	818	tags=69%, list=25%, signal=52%	SYNPCC7002_A2443/SYNPCC7002_A2559/SYNPCC7002_A2367/SYNPCC7002_A0070/SYNPCC7002_A0052/SYNPCC7002_A1023/SYNPCC7002_A1676/SYNPCC7002_A2833/SYNPCC7002_A1002
syp00400	Phenylalanine, tyrosine and tryptophan biosynthesis	18	0.6142716841739564	1.7364470222897235	0.005547307563816819	0.0484590239984145	0.03589557333215889	1059	tags=83%, list=33%, signal=56%	SYNPCC7002_A0169/SYNPCC7002_A2537/SYNPCC7002_A0677/SYNPCC7002_A2147/SYNPCC7002_A2527/SYNPCC7002_A1348/SYNPCC7002_A0511/SYNPCC7002_A0512/SYNPCC7002_A2517/SYNPCC7002_A0681/SYNPCC7002_A2854/SYNPCC7002_A1762/SYNPCC7002_A2203/SYNPCC7002_A0296/SYNPCC7002_A0562
syp00061	Fatty acid biosynthesis	12	0.6903780504646511	1.735468384538485	0.005924064831704555	0.0484590239984145	0.03589557333215889	606	tags=58%, list=19%, signal=48%	SYNPCC7002_A2443/SYNPCC7002_A2559/SYNPCC7002_A2367/SYNPCC7002_A0070/SYNPCC7002_A0052/SYNPCC7002_A1023/SYNPCC7002_A1676
syp00270	Cysteine and methionine metabolism	30	0.5349286765860352	1.7325037961631182	0.005832643113870216	0.0484590239984145	0.03589557333215889	1081	tags=67%, list=33%, signal=45%	SYNPCC7002_A0954/SYNPCC7002_A2283/SYNPCC7002_A2131/SYNPCC7002_A1147/SYNPCC7002_A0552/SYNPCC7002_A0907/SYNPCC7002_A0257/SYNPCC7002_A1646/SYNPCC7002_A0581/SYNPCC7002_A1267/SYNPCC7002_A0512/SYNPCC7002_A1246/SYNPCC7002_A2466/SYNPCC7002_A1275/SYNPCC7002_A0247/SYNPCC7002_A0091/SYNPCC7002_A0976/SYNPCC7002_A0554/SYNPCC7002_A1863/SYNPCC7002_A0553
syp03060	Protein export	16	0.6257572695138836	1.7109412015385927	0.004718640289800263	0.0484590239984145	0.03589557333215889	563	tags=50%, list=17%, signal=41%	SYNPCC7002_A1259/SYNPCC7002_A0656/SYNPCC7002_A2793/SYNPCC7002_A1622/SYNPCC7002_A0657/SYNPCC7002_A2186/SYNPCC7002_A0311/SYNPCC7002_A1031
syp00195	Photosynthesis	66	-0.4708289325116741	-1.6944501701479096	0.005982595555359815	0.0484590239984145	0.03589557333215889	525	tags=44%, list=16%, signal=38%	SYNPCC7002_A1559/SYNPCC7002_A0841/SYNPCC7002_A0842/SYNPCC7002_A2779/SYNPCC7002_A1560/SYNPCC7002_A0682/SYNPCC7002_A1759/SYNPCC7002_A0808/SYNPCC7002_A2620/SYNPCC7002_A2164/SYNPCC7002_A1834/SYNPCC7002_A1393/SYNPCC7002_A1961/SYNPCC7002_A1009/SYNPCC7002_A1962/SYNPCC7002_A1008/SYNPCC7002_G0151/SYNPCC7002_G0076/SYNPCC7002_A1589/SYNPCC7002_A2401/SYNPCC7002_G0144/SYNPCC7002_G0150/SYNPCC7002_G0152/SYNPCC7002_A2621/SYNPCC7002_A1418/SYNPCC7002_G0149/SYNPCC7002_A2199/SYNPCC7002_G0148/SYNPCC7002_G0145
