Geneid	CO2-0-04percent_Lane1-S1_CO2-adaptation	CO2-0-04percent_Lane2-S2_CO2-adaptation	CO2-0-04percent_Lane2-S3_CO2-adaptation	CO2-0-04percent_Lane2-S4_CO2-adaptation	CO2-30percent_Lane1-S14_CO2-adaptation	CO2-30percent_Lane1-S16_CO2-adaptation	CO2-30percent_Lane2-S13_CO2-adaptation	CO2-30percent_Lane2-S15_CO2-adaptation	CO2-4percent_Lane1-S6_CO2-adaptation	CO2-4percent_Lane1-S7_CO2-adaptation	CO2-4percent_Lane2-S5_CO2-adaptation	CO2-4percent_Lane2-S8_CO2-adaptation	CO2-8percent_Lane1-S12_CO2-adaptation	CO2-8percent_Lane2-S10_CO2-adaptation	CO2-8percent_Lane2-S11_CO2-adaptation	CO2-8percent_Lane2-S9_CO2-adaptation
Candidate_RF01701_Cyano-1	0	0	0	0	0	0	0	6.307505664503972	0	0	0	0	1.8012775894754829	0	0	4.656365011760251
Candidate_RF02514_5_ureB_sRNA	2.2369195899516625	11.669561211129606	5.191988709691048	3.973587853048345	8.00254115255263	10.028752796859825	8.84232558021632	11.563760384923949	8.800746558151625	11.966227733728562	15.652784284317686	8.952307918456746	12.60894312632838	5.306666977383149	14.107305792458043	8.148638770580439
Candidate_RF02701_PsrR1	11.184597949758313	15.55941494817281	10.383977419382097	47.68305423658014	90.21046390150238	40.1150111874393	89.40573642218725	305.91402472844266	16.721418460488085	20.60850331919919	15.652784284317686	15.463077313698017	6.30447156316419	14.593334187803661	25.393150426424477	47.72774137054257
gene-SYNPCC7002_RS00010	524.5576438436649	589.961150118219	643.80660000169	614.581587938144	576.9104667249305	509.64298304042205	587.5234107743732	555.0604984763495	469.95986620529675	567.0662364928036	606.5453910173103	639.6830930824548	479.13983880047846	528.0133642496234	535.1371330605751	504.0515125230471
gene-SYNPCC7002_RS00015	581.5990933874323	624.9698337516078	690.5344983889094	649.0193493312297	509.2526187988038	388.3862446783896	469.62573637148904	511.95920976890574	545.6462866054007	487.9561753642647	400.12429826787087	421.57231834187223	487.24558795311816	570.4667000686885	555.8278482228469	498.23105625834677
gene-SYNPCC7002_RS00025	119.67519806241394	124.47531958538248	131.09771491969897	147.02275056278876	48.742750656456934	63.81933598001707	72.70356588177863	86.20257741488761	66.88567384195234	61.160719527945986	92.93840668813625	76.50154039408493	32.42299661055869	65.00667047294358	82.76286064908719	80.32229645286432
gene-SYNPCC7002_RS00030	189.01970535091547	224.314898836158	281.66538750073937	266.2303861542391	76.38789281982056	72.93638397716236	95.30062014233145	118.79135668149146	110.0093319768953	102.37772616634437	95.87330374144582	136.7261573000667	92.76579585798737	124.706673968504	112.85844633966434	87.3068439705047
gene-SYNPCC7002_RS00035	83.88448462318735	108.91590463720966	119.41574032289411	113.90951845405256	118.58310980600717	102.11093756802731	103.16046510252374	107.22759629656753	124.97060112575306	122.98622948554356	136.96186248777974	135.91231112566152	112.57984934221768	126.03334071284979	116.62039455098649	90.79911772932488
gene-SYNPCC7002_RS00040	456.33159635013914	414.9177319512749	394.59114193651965	418.5512538544257	676.578479261268	539.7292414310015	503.0300774523062	496.19044560764576	881.8348051267927	791.7654017150398	856.0116405486234	782.1061736033575	742.126366863899	644.7600377520527	764.6159739512259	693.7983867522773
gene-SYNPCC7002_RS00045	533.5053222034715	523.8336365884845	467.2789838721943	470.20789594405414	539.0802721855908	552.493108627005	563.9438758937964	548.7529928118455	567.6481530007798	577.0380929375773	521.433376471333	559.9261679907493	525.973056126841	538.6266982043896	600.9712267587126	554.1074363994697
gene-SYNPCC7002_RS00050	129.74133621719642	77.79707474086405	111.62775725835753	100.66422561055808	96.75799757177272	88.43536557230937	82.52837208201899	71.48506419771168	128.49089974901372	77.78048026923565	90.98180865259656	108.24154119588611	97.26898983167608	82.25333814943882	75.2389642264429	107.09639527048576
gene-SYNPCC7002_RS00055	1965.1338597725355	1933.2573073104716	2057.325526215078	2018.5826293485593	1985.3577095741937	2336.6994016683393	2204.686511333936	2053.093093796043	755.9841293452246	805.7260007377232	743.50725350509	1021.3769488784743	973.5905371114985	1130.3200661826108	885.9388037663651	1012.7593900578545
gene-SYNPCC7002_RS00060	737.0650048890727	619.7833621022169	989.0738491961447	793.3930413253196	504.16009261081575	507.81957344099294	496.152713112138	468.8579210614619	210.33784273982383	241.318925963526	310.12078863304413	346.69847029659763	235.96736422128828	197.6733449075223	210.6690998340401	287.5305394761955
gene-SYNPCC7002_RS16035	1383.5347663851032	1605.2129754864948	2236.449136699419	2213.288434147928	851.1793771351435	794.0948805513552	732.9305425379306	879.897040198304	317.70695074927363	394.22072478339095	345.33955327275896	349.95385499421826	392.6785145056553	331.6666860864468	299.0748828001105	366.6887446761197
gene-SYNPCC7002_RS00070	3263.6656817394755	3806.8701906529473	5169.922757674861	4560.354326015151	1713.2713103874041	1681.1836506735924	1794.992092783913	1700.9240275279044	745.4232334754425	759.1906706621121	897.1001992949574	1070.2077193427838	949.2732896535796	810.5933807952761	871.8314979739071	1016.2516638166746
gene-SYNPCC7002_RS00075	2238.038049746638	1985.122023804381	2522.0085157324265	2117.9223256747678	1645.6134624612773	1553.5449787135583	1715.4111625619662	1654.6689859882085	1399.3187027461083	1204.6002585286753	1190.589904625914	1283.4354170369354	1259.0930350433625	1314.7267436466752	1232.978526260833	1223.4599068400057
