Geneid	locus	condition	avg.z
gene-SYNPCC7002_RS00010	SYNPCC7002_A0001	0.04	0.640982465343304
gene-SYNPCC7002_RS00010	SYNPCC7002_A0001	4	0.2072316681175399
gene-SYNPCC7002_RS00010	SYNPCC7002_A0001	8	-0.8604903780781468
gene-SYNPCC7002_RS00010	SYNPCC7002_A0001	30	0.012276244617293219
gene-SYNPCC7002_RS00015	SYNPCC7002_A0002	0.04	1.237378340234115
gene-SYNPCC7002_RS00015	SYNPCC7002_A0002	4	-0.712280346792131
gene-SYNPCC7002_RS00015	SYNPCC7002_A0002	8	0.10107025144091394
gene-SYNPCC7002_RS00015	SYNPCC7002_A0002	30	-0.6261682448829132
gene-SYNPCC7002_RS00025	SYNPCC7002_A0004	0.04	1.31319438750512
gene-SYNPCC7002_RS00025	SYNPCC7002_A0004	4	-0.20522393113672824
gene-SYNPCC7002_RS00025	SYNPCC7002_A0004	8	-0.6493812682454158
gene-SYNPCC7002_RS00025	SYNPCC7002_A0004	30	-0.45858918812297417
gene-SYNPCC7002_RS00030	SYNPCC7002_A0005	0.04	1.5211573579219315
gene-SYNPCC7002_RS00030	SYNPCC7002_A0005	4	-0.29643907862055413
gene-SYNPCC7002_RS00030	SYNPCC7002_A0005	8	-0.44480960279611276
gene-SYNPCC7002_RS00030	SYNPCC7002_A0005	30	-0.7799086765052671
gene-SYNPCC7002_RS00035	SYNPCC7002_A0006	0.04	-0.5150952874393009
gene-SYNPCC7002_RS00035	SYNPCC7002_A0006	4	1.0552716110147946
gene-SYNPCC7002_RS00035	SYNPCC7002_A0006	8	-0.16032603863935982
gene-SYNPCC7002_RS00035	SYNPCC7002_A0006	30	-0.3798502849361302
gene-SYNPCC7002_RS00040	SYNPCC7002_A0007	0.04	-1.3180633771949448
gene-SYNPCC7002_RS00040	SYNPCC7002_A0007	4	1.114421422081461
gene-SYNPCC7002_RS00040	SYNPCC7002_A0007	8	0.5628195753220733
gene-SYNPCC7002_RS00040	SYNPCC7002_A0007	30	-0.35917762020858823
gene-SYNPCC7002_RS00045	SYNPCC7002_A0008	0.04	-1.2043963643982711
gene-SYNPCC7002_RS00045	SYNPCC7002_A0008	4	0.46499143911395513
gene-SYNPCC7002_RS00045	SYNPCC7002_A0008	8	0.41375755583117907
gene-SYNPCC7002_RS00045	SYNPCC7002_A0008	30	0.32564736945314166
gene-SYNPCC7002_RS00050	SYNPCC7002_A0009	0.04	0.5154795787838835
gene-SYNPCC7002_RS00050	SYNPCC7002_A0009	4	0.3224084009099003
gene-SYNPCC7002_RS00050	SYNPCC7002_A0009	8	-0.25393765745642266
gene-SYNPCC7002_RS00050	SYNPCC7002_A0009	30	-0.5839503222373685
gene-SYNPCC7002_RS00055	SYNPCC7002_A0010	0.04	0.8538475535680791
gene-SYNPCC7002_RS00055	SYNPCC7002_A0010	4	-1.149785281303537
gene-SYNPCC7002_RS00055	SYNPCC7002_A0010	8	-0.7208190662762239
gene-SYNPCC7002_RS00055	SYNPCC7002_A0010	30	1.0167567940116833
gene-SYNPCC7002_RS00060	SYNPCC7002_A0011	0.04	1.3008860938644422
gene-SYNPCC7002_RS00060	SYNPCC7002_A0011	4	-0.7104195913615545
gene-SYNPCC7002_RS00060	SYNPCC7002_A0011	8	-1.0219448069204091
gene-SYNPCC7002_RS00060	SYNPCC7002_A0011	30	0.43147830441751694
gene-SYNPCC7002_RS00070	SYNPCC7002_A0013	0.04	1.4868719068898855
gene-SYNPCC7002_RS00070	SYNPCC7002_A0013	4	-0.8705874923697143
gene-SYNPCC7002_RS00070	SYNPCC7002_A0013	8	-0.7861581728549394
gene-SYNPCC7002_RS00070	SYNPCC7002_A0013	30	0.16987375833477192
gene-SYNPCC7002_RS00075	SYNPCC7002_A0014	0.04	1.4385385254306573
gene-SYNPCC7002_RS00075	SYNPCC7002_A0014	4	-0.8197621196326026
gene-SYNPCC7002_RS00075	SYNPCC7002_A0014	8	-0.8512669356578203
gene-SYNPCC7002_RS00075	SYNPCC7002_A0014	30	0.23249052985976434
gene-SYNPCC7002_RS00080	SYNPCC7002_A0015	0.04	0.19523517305102056
gene-SYNPCC7002_RS00080	SYNPCC7002_A0015	4	-0.6530168131851801
gene-SYNPCC7002_RS00080	SYNPCC7002_A0015	8	-0.8876122756977697
gene-SYNPCC7002_RS00080	SYNPCC7002_A0015	30	1.3453939158319352
gene-SYNPCC7002_RS00085	SYNPCC7002_A0016	0.04	1.5783113983953838
gene-SYNPCC7002_RS00085	SYNPCC7002_A0016	4	-0.6627423766157793
gene-SYNPCC7002_RS00085	SYNPCC7002_A0016	8	-0.685158923553509
gene-SYNPCC7002_RS00085	SYNPCC7002_A0016	30	-0.2304100982260967
gene-SYNPCC7002_RS00090	SYNPCC7002_A0017	0.04	1.6470689693613854
gene-SYNPCC7002_RS00090	SYNPCC7002_A0017	4	-0.5578397892446068
gene-SYNPCC7002_RS00090	SYNPCC7002_A0017	8	-0.6741419108117602
gene-SYNPCC7002_RS00090	SYNPCC7002_A0017	30	-0.4150872693050177
gene-SYNPCC7002_RS00095	SYNPCC7002_A0018	0.04	1.6133864796685482
gene-SYNPCC7002_RS00095	SYNPCC7002_A0018	4	-0.6367853052128757
gene-SYNPCC7002_RS00095	SYNPCC7002_A0018	8	-0.7261745677865333
gene-SYNPCC7002_RS00095	SYNPCC7002_A0018	30	-0.25042660666913286
gene-SYNPCC7002_RS00100	SYNPCC7002_A0019	0.04	1.3217621294785937
gene-SYNPCC7002_RS00100	SYNPCC7002_A0019	4	-0.6202796585644639
gene-SYNPCC7002_RS00100	SYNPCC7002_A0019	8	-1.0723773850587803
gene-SYNPCC7002_RS00100	SYNPCC7002_A0019	30	0.37089491414464193
gene-SYNPCC7002_RS00105	SYNPCC7002_A0020	0.04	-0.18117410534171186
gene-SYNPCC7002_RS00105	SYNPCC7002_A0020	4	-0.023323220314473127
gene-SYNPCC7002_RS00105	SYNPCC7002_A0020	8	-1.010181969116449
gene-SYNPCC7002_RS00105	SYNPCC7002_A0020	30	1.2146792947726177
gene-SYNPCC7002_RS00110	SYNPCC7002_A0021	0.04	-1.4419821905575805
gene-SYNPCC7002_RS00110	SYNPCC7002_A0021	4	0.08995159138643544
gene-SYNPCC7002_RS00110	SYNPCC7002_A0021	8	0.09331642922959249
gene-SYNPCC7002_RS00110	SYNPCC7002_A0021	30	1.2587141699415505
gene-SYNPCC7002_RS00115	SYNPCC7002_A0022	0.04	-1.298397506287127
gene-SYNPCC7002_RS00115	SYNPCC7002_A0022	4	0.9281815798218254
gene-SYNPCC7002_RS00115	SYNPCC7002_A0022	8	0.5755299257366244
gene-SYNPCC7002_RS00115	SYNPCC7002_A0022	30	-0.2053139992713229
gene-SYNPCC7002_RS00120	SYNPCC7002_A0023	0.04	0.4473979513943269
gene-SYNPCC7002_RS00120	SYNPCC7002_A0023	4	-0.36963855222409514
gene-SYNPCC7002_RS00120	SYNPCC7002_A0023	8	0.025739443625202724
gene-SYNPCC7002_RS00120	SYNPCC7002_A0023	30	-0.10349884279542709
gene-SYNPCC7002_RS00130	SYNPCC7002_A0025	0.04	-1.583941649615351
gene-SYNPCC7002_RS00130	SYNPCC7002_A0025	4	0.7789351729299312
gene-SYNPCC7002_RS00130	SYNPCC7002_A0025	8	0.2954050756381568
gene-SYNPCC7002_RS00130	SYNPCC7002_A0025	30	0.509601401047266
gene-SYNPCC7002_RS00135	SYNPCC7002_A0026	0.04	0.7407592569796241
gene-SYNPCC7002_RS00135	SYNPCC7002_A0026	4	-0.7231816759565359
gene-SYNPCC7002_RS00135	SYNPCC7002_A0026	8	-1.0266438355525644
gene-SYNPCC7002_RS00135	SYNPCC7002_A0026	30	1.0090662545294657
gene-SYNPCC7002_RS00140	SYNPCC7002_A0027	0.04	1.4488207947576826
gene-SYNPCC7002_RS00140	SYNPCC7002_A0027	4	-0.8574355128047241
gene-SYNPCC7002_RS00140	SYNPCC7002_A0027	8	-0.40877801619129794
gene-SYNPCC7002_RS00140	SYNPCC7002_A0027	30	-0.18260726576166308
gene-SYNPCC7002_RS00145	SYNPCC7002_A0028	0.04	1.2695193225760957
gene-SYNPCC7002_RS00145	SYNPCC7002_A0028	4	-0.8921833432582068
gene-SYNPCC7002_RS00145	SYNPCC7002_A0028	8	-0.8031340020940381
gene-SYNPCC7002_RS00145	SYNPCC7002_A0028	30	0.4257980227761525
gene-SYNPCC7002_RS00150	SYNPCC7002_A0029	0.04	1.5913750580428332
gene-SYNPCC7002_RS00150	SYNPCC7002_A0029	4	-0.678405735325415
gene-SYNPCC7002_RS00150	SYNPCC7002_A0029	8	-0.46345673116423014
gene-SYNPCC7002_RS00150	SYNPCC7002_A0029	30	-0.4495125915531992
gene-SYNPCC7002_RS00155	SYNPCC7002_A0030	0.04	-1.4097846454450154
gene-SYNPCC7002_RS00155	SYNPCC7002_A0030	4	0.7750710781593317
gene-SYNPCC7002_RS00155	SYNPCC7002_A0030	8	0.4742822833116788
gene-SYNPCC7002_RS00155	SYNPCC7002_A0030	30	0.16043128397401524
gene-SYNPCC7002_RS00160	SYNPCC7002_A0031	0.04	-1.0775645320641525
gene-SYNPCC7002_RS00160	SYNPCC7002_A0031	4	0.2393389524857169
gene-SYNPCC7002_RS00160	SYNPCC7002_A0031	8	0.9645351976783787
gene-SYNPCC7002_RS00160	SYNPCC7002_A0031	30	-0.12630961809994315
gene-SYNPCC7002_RS00165	SYNPCC7002_A0033	0.04	0.10389926709790998
gene-SYNPCC7002_RS00165	SYNPCC7002_A0033	4	0.5911441830767968
gene-SYNPCC7002_RS00165	SYNPCC7002_A0033	8	0.3189825251066786
gene-SYNPCC7002_RS00165	SYNPCC7002_A0033	30	-1.0140259752813756
gene-SYNPCC7002_RS00170	SYNPCC7002_A0034	0.04	-1.5886056484785254
gene-SYNPCC7002_RS00170	SYNPCC7002_A0034	4	0.6166286906606416
gene-SYNPCC7002_RS00170	SYNPCC7002_A0034	8	0.7970568633949741
gene-SYNPCC7002_RS00170	SYNPCC7002_A0034	30	0.1749200944229104
gene-SYNPCC7002_RS00175	SYNPCC7002_A0035	0.04	-1.5995043824584672
gene-SYNPCC7002_RS00175	SYNPCC7002_A0035	4	0.6488964127028363
gene-SYNPCC7002_RS00175	SYNPCC7002_A0035	8	0.8154464490606332
gene-SYNPCC7002_RS00175	SYNPCC7002_A0035	30	0.13516152069499401
gene-SYNPCC7002_RS00180	SYNPCC7002_A0036	0.04	1.4781619574879992
