Geneid	CO2-0-04percent_Lane1-S1_CO2-adaptation	CO2-0-04percent_Lane2-S2_CO2-adaptation	CO2-0-04percent_Lane2-S3_CO2-adaptation	CO2-0-04percent_Lane2-S4_CO2-adaptation	CO2-30percent_Lane1-S14_CO2-adaptation	CO2-30percent_Lane1-S16_CO2-adaptation	CO2-30percent_Lane2-S13_CO2-adaptation	CO2-30percent_Lane2-S15_CO2-adaptation	CO2-4percent_Lane1-S6_CO2-adaptation	CO2-4percent_Lane1-S7_CO2-adaptation	CO2-4percent_Lane2-S5_CO2-adaptation	CO2-4percent_Lane2-S8_CO2-adaptation	CO2-8percent_Lane1-S12_CO2-adaptation	CO2-8percent_Lane2-S10_CO2-adaptation	CO2-8percent_Lane2-S11_CO2-adaptation	CO2-8percent_Lane2-S9_CO2-adaptation
K00147_upstream.fna.motif.h1_1;High-covariation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01889_upstream.fna.motif.h1_1;High-power	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02014_upstream.fna.motif.h1_4;High-covariation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02094_upstream.fna.motif.h1_2.h1_4;High-covariation	3937.661494653543	3648.8501909345223	2385.942504495059	2820.779800980334	3017.054840865376	3425.39881645819	2925.888429149211	3059.2308635088593	5459.834714204267	5710.513764446444	6837.881590679269	5345.312124696619	8101.054250397806	5668.803475732574	5823.864612212251	7350.705171618807
K03320_upstream.fna.motif.h1_3;High-covariation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03325_upstream.fna.motif.h2_1;High-power	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K10716_upstream.fna.motif.h1_4;Conserved-sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03665_upstream.fna.motif.h1_2.h2_1;High-power	0	0	0	0	0	0	0	2.1025641673600406	1.76010145525605	0	0	0	0	0	0	4.656028612268445
K21903_upstream.fna.motif.h2_1;High-covariation	0	0	0	0	1.455054179341874	1.8234755477552251	3.930004605976106	0	0	0	0	0	0	0	1.8804858289351793	0
K04485_upstream.fna.motif.h2_3;High-power	0	0	0	2.649863598854236	0	0	0	0	0	0	0	0	0	0	0	0
K04485_upstream.fna.motif.h1_3;High-power	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K07086_upstream.fna.motif.h2_3;High-power	6.715738762911101	20.754213670441647	12.981188816621648	45.04768118052201	0	0	0	0	0	0	0	0	0	0	0	0
K07086_upstream.fna.motif.h1_1;Conserved-sequence	0	2.594276708805206	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K09121_upstream.fna.motif.h1_4;High-power	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K09942_upstream.fna.motif.h2_1;High-power	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
