Geneid	CO2	avg.z	locus
gene-SYNPCC7002_RS00015	0.04	1.239630006807669	32049.SYNPCC7002_A0002
gene-SYNPCC7002_RS00015	4	-0.7110356836668973	32049.SYNPCC7002_A0002
gene-SYNPCC7002_RS00015	8	0.09742247407066723	32049.SYNPCC7002_A0002
gene-SYNPCC7002_RS00015	30	-0.6260167972114237	32049.SYNPCC7002_A0002
gene-SYNPCC7002_RS00025	0.04	1.3187004810588572	32049.SYNPCC7002_A0004
gene-SYNPCC7002_RS00025	4	-0.20826796724229424	32049.SYNPCC7002_A0004
gene-SYNPCC7002_RS00025	8	-0.6493734975966027	32049.SYNPCC7002_A0004
gene-SYNPCC7002_RS00025	30	-0.4610590162199588	32049.SYNPCC7002_A0004
gene-SYNPCC7002_RS00030	0.04	1.5227715887370619	32049.SYNPCC7002_A0005
gene-SYNPCC7002_RS00030	4	-0.2977976640094808	32049.SYNPCC7002_A0005
gene-SYNPCC7002_RS00030	8	-0.4471716659445076	32049.SYNPCC7002_A0005
gene-SYNPCC7002_RS00030	30	-0.7778022587830759	32049.SYNPCC7002_A0005
gene-SYNPCC7002_RS00040	0.04	-1.317139918824102	32049.SYNPCC7002_A0007
gene-SYNPCC7002_RS00040	4	1.1159389377094475	32049.SYNPCC7002_A0007
gene-SYNPCC7002_RS00040	8	0.5606232038845647	32049.SYNPCC7002_A0007
gene-SYNPCC7002_RS00040	30	-0.35942222276990904	32049.SYNPCC7002_A0007
gene-SYNPCC7002_RS00055	0.04	0.8541359172395369	32049.SYNPCC7002_A0010
gene-SYNPCC7002_RS00055	4	-1.1488243556813167	32049.SYNPCC7002_A0010
gene-SYNPCC7002_RS00055	8	-0.7222424826196865	32049.SYNPCC7002_A0010
gene-SYNPCC7002_RS00055	30	1.0169309210614534	32049.SYNPCC7002_A0010
gene-SYNPCC7002_RS00060	0.04	1.3017553264121595	32049.SYNPCC7002_A0011
gene-SYNPCC7002_RS00060	4	-0.7099890145684641	32049.SYNPCC7002_A0011
gene-SYNPCC7002_RS00060	8	-1.0217903380802593	32049.SYNPCC7002_A0011
gene-SYNPCC7002_RS00060	30	0.43002402623656205	32049.SYNPCC7002_A0011
gene-SYNPCC7002_RS00070	0.04	1.4869222011734913	32049.SYNPCC7002_A0013
gene-SYNPCC7002_RS00070	4	-0.8692889421282346	32049.SYNPCC7002_A0013
gene-SYNPCC7002_RS00070	8	-0.787162320289111	32049.SYNPCC7002_A0013
gene-SYNPCC7002_RS00070	30	0.16952906124384728	32049.SYNPCC7002_A0013
gene-SYNPCC7002_RS00075	0.04	1.4385132537146723	32049.SYNPCC7002_A0014
gene-SYNPCC7002_RS00075	4	-0.8180981164188443	32049.SYNPCC7002_A0014
gene-SYNPCC7002_RS00075	8	-0.852881219414382	32049.SYNPCC7002_A0014
gene-SYNPCC7002_RS00075	30	0.2324660821185376	32049.SYNPCC7002_A0014
gene-SYNPCC7002_RS00080	0.04	0.19538615208715054	32049.SYNPCC7002_A0015
gene-SYNPCC7002_RS00080	4	-0.6511378757044926	32049.SYNPCC7002_A0015
gene-SYNPCC7002_RS00080	8	-0.8888778103112638	32049.SYNPCC7002_A0015
gene-SYNPCC7002_RS00080	30	1.3446295339286194	32049.SYNPCC7002_A0015
gene-SYNPCC7002_RS00085	0.04	1.5789323383288345	32049.SYNPCC7002_A0016
gene-SYNPCC7002_RS00085	4	-0.6614861798752185	32049.SYNPCC7002_A0016
gene-SYNPCC7002_RS00085	8	-0.6857253380257617	32049.SYNPCC7002_A0016
gene-SYNPCC7002_RS00085	30	-0.2317208204278631	32049.SYNPCC7002_A0016
gene-SYNPCC7002_RS00090	0.04	1.6470926294960857	32049.SYNPCC7002_A0017
gene-SYNPCC7002_RS00090	4	-0.5571196017639699	32049.SYNPCC7002_A0017
gene-SYNPCC7002_RS00090	8	-0.6743595750413999	32049.SYNPCC7002_A0017
gene-SYNPCC7002_RS00090	30	-0.415613452690715	32049.SYNPCC7002_A0017
gene-SYNPCC7002_RS00095	0.04	1.6134163843617173	32049.SYNPCC7002_A0018
gene-SYNPCC7002_RS00095	4	-0.6356531720644204	32049.SYNPCC7002_A0018
gene-SYNPCC7002_RS00095	8	-0.7271131936827466	32049.SYNPCC7002_A0018
gene-SYNPCC7002_RS00095	30	-0.25065001861453545	32049.SYNPCC7002_A0018
gene-SYNPCC7002_RS00100	0.04	1.3216466282782828	32049.SYNPCC7002_A0019
gene-SYNPCC7002_RS00100	4	-0.6186251371810543	32049.SYNPCC7002_A0019
gene-SYNPCC7002_RS00100	8	-1.0735785944125318	32049.SYNPCC7002_A0019
gene-SYNPCC7002_RS00100	30	0.3705571033153261	32049.SYNPCC7002_A0019
gene-SYNPCC7002_RS00105	0.04	-0.179063967619838	32049.SYNPCC7002_A0020
gene-SYNPCC7002_RS00105	4	-0.020935284396455367	32049.SYNPCC7002_A0020
gene-SYNPCC7002_RS00105	8	-1.0129007947412556	32049.SYNPCC7002_A0020
gene-SYNPCC7002_RS00105	30	1.2129000467575213	32049.SYNPCC7002_A0020
gene-SYNPCC7002_RS00110	0.04	-1.441333694669505	32049.SYNPCC7002_A0021
gene-SYNPCC7002_RS00110	4	0.09062442139980262	32049.SYNPCC7002_A0021
gene-SYNPCC7002_RS00110	8	0.0912197526240169	32049.SYNPCC7002_A0021
gene-SYNPCC7002_RS00110	30	1.2594895206456909	32049.SYNPCC7002_A0021
gene-SYNPCC7002_RS00115	0.04	-1.2985661720612058	32049.SYNPCC7002_A0022
gene-SYNPCC7002_RS00115	4	0.9313686217146322	32049.SYNPCC7002_A0022
gene-SYNPCC7002_RS00115	8	0.5725741096606416	32049.SYNPCC7002_A0022
gene-SYNPCC7002_RS00115	30	-0.20537655931404503	32049.SYNPCC7002_A0022
gene-SYNPCC7002_RS00130	0.04	-1.5838795667084264	32049.SYNPCC7002_A0025
gene-SYNPCC7002_RS00130	4	0.7803717331977608	32049.SYNPCC7002_A0025
gene-SYNPCC7002_RS00130	8	0.29347319578150743	32049.SYNPCC7002_A0025
gene-SYNPCC7002_RS00130	30	0.5100346377291541	32049.SYNPCC7002_A0025
gene-SYNPCC7002_RS00135	0.04	0.7413788004915777	32049.SYNPCC7002_A0026
gene-SYNPCC7002_RS00135	4	-0.7218033403936353	32049.SYNPCC7002_A0026
gene-SYNPCC7002_RS00135	8	-1.028878625630295	32049.SYNPCC7002_A0026
gene-SYNPCC7002_RS00135	30	1.0093031655323752	32049.SYNPCC7002_A0026
