"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"14","7","STRING Clusters","","Pilus organization, and Secretion","2.63E-13","pilM|gspE|pilT|pilC|pilT-2|ACB00670.1|ACB00772.1","253919","3967|3553|3541|3565|910|6310|1966","4.06E-16","","CL:1917","1.2580044251510243","0"
"5","4","STRING Clusters","","Type II/IV secretion system protein, and GspF/PilC family","2.66E-7","pilM|gspE|pilT|pilC","253919","3967|3553|3541|3565","1.65E-9","","CL:1921","0.6575118363368933","0"
"3","3","InterPro Domains","","Type II/IV secretion system protein","2.2E-4","gspE|pilT|pilT-2","253919","3553|3541|910","1.85E-7","","IPR001482","0.3657577319177794","0"
"6","3","GO Biological Process","","Pilus organization","8.6E-4","pilT|pilT-2|ACB00772.1","253919","3541|910|1966","7.74E-7","","GO:0043711","0.3065501548756432","0"
"3","2","COMPARTMENTS","","Type IV pilus","0.0137","pilT|pilT-2","253919","3541|910","5.23E-5","","GOCC:0044096","0.18632794328435934","0"
"2","2","Pfam","","Type II secretion system (T2SS), protein F","0.0152","pilC|ACB00670.1","253919","3565|6310","3.14E-5","","PF00482","0.18181564120552274","0"
"2","2","InterPro Domains","","GspF/PilC family","0.0186","pilC|ACB00670.1","253919","3565|6310","3.14E-5","","IPR003004","0.17304870557820837","0"
"2","2","InterPro Domains","","Pilus retraction protein PilT/PilU","0.0186","pilT|pilT-2","253919","3541|910","3.14E-5","","IPR006321","0.17304870557820837","0"
"2","2","InterPro Domains","","Type II secretion system protein GspF domain","0.0186","pilC|ACB00670.1","253919","3565|6310","3.14E-5","","IPR018076","0.17304870557820837","0"
"2","2","InterPro Domains","","Type II secretion system GspF domain superfamily","0.0186","pilC|ACB00670.1","253919","3565|6310","3.14E-5","","IPR042094","0.17304870557820837","0"
"5","2","GO Biological Process","","Cell motility","0.0406","pilT|pilT-2","253919","3541|910","1.1E-4","","GO:0048870","0.1391473966422806","0"
