"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"36","5","STRING Clusters","","2-Oxocarboxylic acid metabolism, and Lysine biosynthesis","3.23E-7","ACA98390.1|ilvD|ilvC|ilvE|leuB","163300","814|2782|1081|4384|4150","4.99E-10","","CL:3171","1.0","0"
"13","4","KEGG Pathways","","Valine, leucine and isoleucine biosynthesis","4.32E-7","ilvD|ilvC|ilvE|leuB","163300","2782|1081|4384|4150","4.46E-9","","syp00290","0.9805445748510456","0"
"11","4","UniProt Keywords","","Branched-chain amino acid biosynthesis","5.47E-7","ilvD|ilvC|ilvE|leuB","163300","2782|1081|4384|4150","2.56E-9","","KW-0100","0.964752435307149","0"
"12","4","STRING Clusters","","Valine, leucine and isoleucine biosynthesis","1.1E-6","ilvD|ilvC|ilvE|leuB","163300","2782|1081|4384|4150","3.41E-9","","CL:3209","0.9180085090224918","0"
"21","4","KEGG Pathways","","2-Oxocarboxylic acid metabolism","1.15E-6","ilvD|ilvC|ilvE|leuB","163300","2782|1081|4384|4150","2.36E-8","","syp01210","0.9150342743060638","0"
"14","4","GO Biological Process","","Branched-chain amino acid biosynthetic process","6.37E-6","ilvD|ilvC|ilvE|leuB","163300","2782|1081|4384|4150","5.73E-9","","GO:0009082","0.8004964852994749","0"
"5","3","GO Biological Process","","Valine biosynthetic process","5.5E-5","ilvD|ilvC|ilvE","163300","2782|1081|4384","1.48E-7","","GO:0009099","0.6562579290388768","0"
"14","3","KEGG Pathways","","Pantothenate and CoA biosynthesis","5.8E-5","ilvD|ilvC|ilvE","163300","2782|1081|4384","1.79E-6","","syp00770","0.6527043897167755","0"
"90","4","KEGG Pathways","","Biosynthesis of amino acids","1.4E-4","ilvD|ilvC|ilvE|leuB","163300","2782|1081|4384|4150","5.59E-6","","syp01230","0.5937439856320768","0"
"10","3","GO Biological Process","","Isoleucine biosynthetic process","1.7E-4","ilvD|ilvC|ilvE","163300","2782|1081|4384","7.55E-7","","GO:0009097","0.5807531496076691","0"
"215","5","GO Biological Process","","Carboxylic acid metabolic process","4.3E-4","ACA98390.1|ilvD|ilvC|ilvE|leuB","163300","814|2782|1081|4384|4150","2.73E-6","","GO:0019752","0.5186622377300653","0"
"76","4","GO Biological Process","","Alpha-amino acid biosynthetic process","4.3E-4","ilvD|ilvC|ilvE|leuB","163300","2782|1081|4384|4150","2.91E-6","","GO:1901607","0.5186622377300653","0"
"6","2","GO Biological Process","","Leucine biosynthetic process","0.0048","ilvE|leuB","163300","4384|4150","6.97E-5","","GO:0009098","0.35723788495973396","0"
"5","2","STRING Clusters","","Valine metabolic process","0.0056","ilvD|ilvC","163300","2782|1081","5.23E-5","","CL:3211","0.3469237764297824","0"
"2","2","Pfam","","Amino-transferase class IV","0.0063","ACA98390.1|ilvE","163300","814|4384","1.5E-5","","PF01063","0.339043000204154","0"
"263","4","KEGG Pathways","","Biosynthesis of secondary metabolites","0.007","ilvD|ilvC|ilvE|leuB","163300","2782|1081|4384|4150","3.6E-4","","syp01110","0.33199340564846186","0"
"12","2","UniProt Keywords","","Aminotransferase","0.0161","ACA98390.1|ilvE","163300","814|4384","2.3E-4","","KW-0032","0.2762640692669016","0"
"2","2","InterPro Domains","","Aminotransferase class IV","0.0178","ACA98390.1|ilvE","163300","814|4384","1.5E-5","","IPR001544","0.2695477718586052","0"
"2","2","InterPro Domains","","Aminotransferase-like, PLP-dependent enzymes","0.0178","ACA98390.1|ilvE","163300","814|4384","1.5E-5","","IPR036038","0.2695477718586052","0"
"2","2","InterPro Domains","","Branched-chain-amino-acid aminotransferase-like, N-terminal","0.0178","ACA98390.1|ilvE","163300","814|4384","1.5E-5","","IPR043131","0.2695477718586052","0"
"2","2","InterPro Domains","","Branched-chain-amino-acid aminotransferase-like, C-terminal","0.0178","ACA98390.1|ilvE","163300","814|4384","1.5E-5","","IPR043132","0.2695477718586052","0"
"217","4","GO Cellular Component","","Cytosol","0.0244","ACA98390.1|ilvD|ilvC|ilvE","163300","814|2782|1081|4384","1.7E-4","","GO:0005829","0.24844561538229087","0"
