locus	string.name	cluster	Geneid	type	name	locus_tag	product
SYNPCC7002_A1806	ndhD4	1	gene-SYNPCC7002_RS09050	protein_coding	SYNPCC7002_RS09050	SYNPCC7002_RS09050	NADH-quinone oxidoreductase subunit M
SYNPCC7002_A1807	ACA99795.1	17	gene-SYNPCC7002_RS09055	protein_coding	SYNPCC7002_RS09055	SYNPCC7002_RS09055	CO2 hydration protein
SYNPCC7002_A1804	ACA99792.1	1	gene-SYNPCC7002_RS09040	protein_coding	SYNPCC7002_RS09040	SYNPCC7002_RS09040	SulP family inorganic anion transporter
SYNPCC7002_A1805	ndhF4	1	gene-SYNPCC7002_RS09045	protein_coding	SYNPCC7002_RS09045	SYNPCC7002_RS09045	NAD(P)H-quinone oxidoreductase subunit F
SYNPCC7002_A0954	ACA98957.1	323	gene-SYNPCC7002_RS04770	protein_coding	pgeF	SYNPCC7002_RS04770	peptidoglycan editing factor PgeF
SYNPCC7002_A1802	ccmK	34	gene-SYNPCC7002_RS09030	protein_coding	SYNPCC7002_RS09030	SYNPCC7002_RS09030	BMC domain-containing protein
SYNPCC7002_A1803	ccmK-2	34	gene-SYNPCC7002_RS09035	protein_coding	SYNPCC7002_RS09035	SYNPCC7002_RS09035	BMC domain-containing protein
SYNPCC7002_A1800	ccmM	34	gene-SYNPCC7002_RS09020	protein_coding	SYNPCC7002_RS09020	SYNPCC7002_RS09020	ribulose bisphosphate carboxylase small subunit
SYNPCC7002_A0956	nrdR	322	gene-SYNPCC7002_RS04780	protein_coding	nrdR	SYNPCC7002_RS04780	transcriptional regulator NrdR
SYNPCC7002_A1801	ccmL	34	gene-SYNPCC7002_RS09025	protein_coding	SYNPCC7002_RS09025	SYNPCC7002_RS09025	EutN/CcmL family microcompartment protein
SYNPCC7002_A0955	rpsA	1	gene-SYNPCC7002_RS04775	protein_coding	SYNPCC7002_RS04775	SYNPCC7002_RS04775	30S ribosomal protein S1
SYNPCC7002_A0950	ACA98953.1	293	gene-SYNPCC7002_RS04750	protein_coding	SYNPCC7002_RS04750	SYNPCC7002_RS04750	mannose-1-phosphate guanyltransferase
SYNPCC7002_A0952	frr	1	gene-SYNPCC7002_RS04760	protein_coding	frr	SYNPCC7002_RS04760	ribosome recycling factor
SYNPCC7002_A0951	ACA98954.1	237	gene-SYNPCC7002_RS04755	protein_coding	SYNPCC7002_RS04755	SYNPCC7002_RS04755	DUF6439 family protein
SYNPCC7002_A2298	ACB00276.1	52	gene-SYNPCC7002_RS11385	protein_coding	SYNPCC7002_RS11385	SYNPCC7002_RS11385	cryptochrome/photolyase family protein
SYNPCC7002_A2299	ACB00277.1	52	gene-SYNPCC7002_RS11390	protein_coding	SYNPCC7002_RS11390	SYNPCC7002_RS11390	hypothetical protein
SYNPCC7002_A2297	ACB00275.1	321	gene-SYNPCC7002_RS11380	protein_coding	SYNPCC7002_RS11380	SYNPCC7002_RS11380	Na+/H+ antiporter
SYNPCC7002_A2294	ACB00272.1	1	gene-SYNPCC7002_RS11370	protein_coding	SYNPCC7002_RS11370	SYNPCC7002_RS11370	peptidylprolyl isomerase
SYNPCC7002_A2295	ACB00273.1	321	gene-SYNPCC7002_RS11375	protein_coding	SYNPCC7002_RS11375	SYNPCC7002_RS11375	DUF805 domain-containing protein
SYNPCC7002_A2292	moaC	16	gene-SYNPCC7002_RS11360	protein_coding	moaC	SYNPCC7002_RS11360	cyclic pyranopterin monophosphate synthase MoaC
SYNPCC7002_A2289	ACB00268.1	88	gene-SYNPCC7002_RS11345	protein_coding	tsaE	SYNPCC7002_RS11345	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE
SYNPCC7002_A2285	pstC	36	gene-SYNPCC7002_RS11330	protein_coding	pstC	SYNPCC7002_RS11330	phosphate ABC transporter permease subunit PstC
SYNPCC7002_A2286	pstA	36	gene-SYNPCC7002_RS11335	protein_coding	pstA	SYNPCC7002_RS11335	phosphate ABC transporter permease PstA
SYNPCC7002_A2284	pstS	36	gene-SYNPCC7002_RS11325	protein_coding	SYNPCC7002_RS11325	SYNPCC7002_RS11325	PstS family phosphate ABC transporter substrate-binding protein
SYNPCC7002_A2280	ACB00259.1	1	gene-SYNPCC7002_RS11305	protein_coding	SYNPCC7002_RS11305	SYNPCC7002_RS11305	alpha/beta fold hydrolase
SYNPCC7002_A0099	uppS	172	gene-SYNPCC7002_RS00500	protein_coding	SYNPCC7002_RS00500	SYNPCC7002_RS00500	isoprenyl transferase
SYNPCC7002_A2278	ACB00257.1	320	gene-SYNPCC7002_RS11295	protein_coding	SYNPCC7002_RS11295	SYNPCC7002_RS11295	SH3 domain-containing protein
SYNPCC7002_A2279	ACB00258.1	320	gene-SYNPCC7002_RS11300	protein_coding	SYNPCC7002_RS11300	SYNPCC7002_RS11300	hypothetical protein
SYNPCC7002_A2275	hisS	319	gene-SYNPCC7002_RS11280	protein_coding	hisS	SYNPCC7002_RS11280	histidine--tRNA ligase
SYNPCC7002_A2273	ACB00252.1	319	gene-SYNPCC7002_RS11270	protein_coding	SYNPCC7002_RS11270	SYNPCC7002_RS11270	hypothetical protein
SYNPCC7002_A0096	rimI	4	gene-SYNPCC7002_RS00480	protein_coding	rimI	SYNPCC7002_RS00480	ribosomal protein S18-alanine N-acetyltransferase
SYNPCC7002_A2270	ACB00249.1	12	gene-SYNPCC7002_RS11255	protein_coding	SYNPCC7002_RS11255	SYNPCC7002_RS11255	ABC transporter ATP-binding protein
SYNPCC7002_A2271	ACB00250.1	2	gene-SYNPCC7002_RS11260	protein_coding	SYNPCC7002_RS11260	SYNPCC7002_RS11260	MASE1 domain-containing protein
SYNPCC7002_A0093	ACA98109.1	318	gene-SYNPCC7002_RS00465	protein_coding	SYNPCC7002_RS00465	SYNPCC7002_RS00465	DUF2488 family protein
SYNPCC7002_A0092	ACA98108.1	15	gene-SYNPCC7002_RS00460	protein_coding	SYNPCC7002_RS00460	SYNPCC7002_RS00460	hypothetical protein
SYNPCC7002_A0088	ACA98104.1	97	gene-SYNPCC7002_RS00440	protein_coding	SYNPCC7002_RS00440	SYNPCC7002_RS00440	hypothetical protein
