database	geneset	geneset.name	cluster	genes	locus	Geneid	type	name	locus_tag	product
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	efp	SYNPCC7002_A0053	gene-SYNPCC7002_RS00270	protein_coding	efp	SYNPCC7002_RS00270	elongation factor P
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	ACA98089.1	SYNPCC7002_A0072	gene-SYNPCC7002_RS00365	protein_coding	ylqF	SYNPCC7002_RS00365	ribosome biogenesis GTPase YlqF
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	rbfA	SYNPCC7002_A0074	gene-SYNPCC7002_RS00375	protein_coding	rbfA	SYNPCC7002_RS00375	30S ribosome-binding factor RbfA
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	prfB	SYNPCC7002_A0188	gene-SYNPCC7002_RS00935	protein_coding	prfB	SYNPCC7002_RS00935	peptide chain release factor 2
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	sodB	SYNPCC7002_A0242	gene-SYNPCC7002_RS01200	protein_coding	SYNPCC7002_RS01200	SYNPCC7002_RS01200	superoxide dismutase
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	lrtA	SYNPCC7002_A0263	gene-SYNPCC7002_RS01305	protein_coding	raiA	SYNPCC7002_RS01305	ribosome-associated translation inhibitor RaiA
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	fusA	SYNPCC7002_A0341	gene-SYNPCC7002_RS01680	protein_coding	fusA	SYNPCC7002_RS01680	elongation factor G
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	rpsF	SYNPCC7002_A0443	gene-SYNPCC7002_RS02195	protein_coding	rpsF	SYNPCC7002_RS02195	30S ribosomal protein S6
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	rplU	SYNPCC7002_A0490	gene-SYNPCC7002_RS02425	protein_coding	rplU	SYNPCC7002_RS02425	50S ribosomal protein L21
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	deaD	SYNPCC7002_A0618	gene-SYNPCC7002_RS03080	protein_coding	SYNPCC7002_RS03080	SYNPCC7002_RS03080	DEAD/DEAH box helicase
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	thrS	SYNPCC7002_A0628	gene-SYNPCC7002_RS03130	protein_coding	thrS	SYNPCC7002_RS03130	threonine--tRNA ligase
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	atpG	SYNPCC7002_A0733	gene-SYNPCC7002_RS03655	protein_coding	SYNPCC7002_RS03655	SYNPCC7002_RS03655	F0F1 ATP synthase subunit gamma
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	atpA	SYNPCC7002_A0734	gene-SYNPCC7002_RS03660	protein_coding	atpA	SYNPCC7002_RS03660	F0F1 ATP synthase subunit alpha
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	atpH	SYNPCC7002_A0735	gene-SYNPCC7002_RS03665	protein_coding	atpH	SYNPCC7002_RS03665	ATP synthase F1 subunit delta
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	atpF	SYNPCC7002_A0736	gene-SYNPCC7002_RS03670	protein_coding	SYNPCC7002_RS03670	SYNPCC7002_RS03670	F0F1 ATP synthase subunit B
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	atpG-2	SYNPCC7002_A0737	gene-SYNPCC7002_RS03675	protein_coding	SYNPCC7002_RS03675	SYNPCC7002_RS03675	F0F1 ATP synthase subunit B'
