cluster	database	geneset	geneset.name	no.genes	no.background	pvalue	FDR	cluster.size
cluster_1	STRING Clusters	CL:2400	Translation, and Ribosome biogenesis	113	156	2.39e-53	1.55e-50	290
cluster_1	STRING Clusters	CL:2398	Translation, and RNA processing	116	170	5.6e-53	1.81e-50	290
cluster_1	STRING Clusters	CL:2403	Translation, and Ribonucleoside triphosphate biosynthetic process	97	118	2.27e-48	4.89e-46	290
cluster_1	STRING Clusters	CL:2406	Ribonucleoprotein, and Regulation of translation	92	103	9.41e-48	1.52e-45	290
cluster_1	STRING Clusters	CL:2404	Mixed, incl. Ribonucleoprotein, and Regulation of translation	94	111	1.67e-47	2.16e-45	290
cluster_1	STRING Clusters	CL:2407	Ribosome, and Regulation of translation	89	94	1.7799999999999998e-47	2.16e-45	290
cluster_1	STRING Clusters	CL:2408	Ribosome, and Regulation of translation	79	84	1.27e-41	1.02e-39	290
cluster_1	STRING Clusters	CL:2410	Ribosome, and Regulation of translation	73	77	1.9199999999999999e-38	1.38e-36	290
cluster_1	STRING Clusters	CL:2414	Ribosome, and Translation regulator activity	68	69	2.13e-36	1.38e-34	290
cluster_1	STRING Clusters	CL:2415	Ribosome	62	62	2.55e-33	1.5e-31	290
cluster_1	GO Biological Process	GO:0008152	Metabolic process	250	1469	3.35e-32	3.73e-29	290
cluster_1	STRING Clusters	CL:2419	Ribosome	57	57	1.42e-30	7.65e-29	290
cluster_1	GO Biological Process	GO:0006412	Translation	71	104	6.669999999999999e-31	2.62e-28	290
cluster_1	GO Biological Process	GO:0043604	Amide biosynthetic process	76	123	4.709999999999999e-31	2.62e-28	290
cluster_1	GO Biological Process	GO:0006518	Peptide metabolic process	72	115	1.34e-29	2.9800000000000003e-27	290
cluster_1	GO Biological Process	GO:0010467	Gene expression	93	213	2.7e-29	5.0100000000000005e-27	290
cluster_1	STRING Clusters	CL:2422	Ribosome	52	52	7.31e-28	3.64e-26	290
cluster_1	KEGG Pathways	syp03010	Ribosome	52	52	7.31e-28	7.090000000000001e-26	290
cluster_1	UniProt Keywords	KW-0687	Ribonucleoprotein	53	54	3.8599999999999998e-28	8.260000000000001e-26	290
cluster_1	GO Biological Process	GO:0043603	Cellular amide metabolic process	77	146	5.23e-28	8.310000000000001e-26	290
cluster_1	UniProt Keywords	KW-0689	Ribosomal protein	52	53	1.34e-27	1.43e-25	290
cluster_1	GO Cellular Component	GO:0005840	Ribosome	53	57	2.2400000000000002e-27	3.1999999999999997e-25	290
cluster_1	GO Molecular Function	GO:0003735	Structural constituent of ribosome	50	52	2.87e-26	1.7199999999999998e-23	290
cluster_1	GO Biological Process	GO:0034645	Cellular macromolecule biosynthetic process	75	155	2.15e-25	2.99e-23	290
cluster_1	GO Biological Process	GO:0009059	Macromolecule biosynthetic process	82	196	1.5899999999999999e-24	1.96e-22	290
cluster_1	GO Biological Process	GO:0044237	Cellular metabolic process	209	1191	1.02e-22	1.13e-20	290
cluster_1	COMPARTMENTS	GOCC:0110165	Cellular anatomical entity	256	1726	4.6699999999999993e-23	1.22e-20	290
cluster_1	STRING Clusters	CL:2423	Ribosome	40	40	1.7400000000000003e-21	8.03e-20	290
cluster_1	GO Cellular Component	GO:0043232	Intracellular non-membrane-bounded organelle	79	211	4.290000000000001e-21	3.07e-19	290
cluster_1	GO Cellular Component	GO:0110165	Cellular anatomical entity	280	2158	2.86e-20	1.02e-18	290
cluster_1	GO Biological Process	GO:0044271	Cellular nitrogen compound biosynthetic process	96	315	1.41e-20	1.43e-18	290
cluster_1	GO Biological Process	GO:0009987	Cellular process	249	1705	7.34e-20	6.8e-18	290
cluster_1	UniProt Keywords	KW-0699	rRNA-binding	38	41	1.11e-19	7.94e-18	290
cluster_1	COMPARTMENTS	GOCC:0005840	Ribosome	37	37	6.41e-20	8.39e-18	290
