"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"53","8","STRING Clusters","","Photosynthesis","1.66E-10","psaF|psaJ|isiB|isiA|psaA|psaB|ACB00133.1|petF-4","16020","511|514|355|358|367|370|322|256","2.56E-13","","CL:1023","1.0","0"
"10","5","COMPARTMENTS","","Photosystem I","6.48E-8","psaF|psaJ|isiA|psaA|psaB","16020","511|514|358|367|370","2.47E-10","","GOCC:0009522","0.7350209039977832","0"
"12","5","STRING Clusters","","Photosystem I","8.22E-8","psaF|psaJ|isiA|psaA|psaB","16020","511|514|358|367|370","5.08E-10","","CL:1076","0.7244587410823491","0"
"13","5","GO Cellular Component","","Photosystem I","1.0E-7","psaF|psaJ|isiA|psaA|psaB","16020","511|514|358|367|370","7.03E-10","","GO:0009522","0.7157543317467157","0"
"38","6","STRING Clusters","","Photosystem","1.04E-7","psaF|psaJ|isiB|isiA|psaA|psaB","16020","511|514|355|358|367|370","8.04E-10","","CL:1025","0.714012662262828","0"
"10","4","UniProt Keywords","","Photosystem I","9.95E-6","psaJ|isiA|psaA|psaB","16020","514|358|367|370","4.65E-8","","KW-0603","0.5114756854456698","0"
"57","5","KEGG Pathways","","Photosynthesis","4.89E-5","psaF|psaJ|psaA|psaB|petF-4","16020","511|514|367|370|256","5.04E-7","","syp00195","0.44077083670063727","0"
"78","6","GO Biological Process","","Electron transport chain","4.96E-5","isiB|isiA|psaA|psaB|ACB00133.1|petF-4","16020","355|358|367|370|322|256","4.46E-8","","GO:0022900","0.440139662305036","0"
"127","6","COMPARTMENTS","","Membrane protein complex","6.27E-5","psaF|psaJ|ACA99229.1|isiA|psaA|psaB","16020","511|514|274|358|367|370","7.18E-7","","GOCC:0098796","0.4297319946889916","0"
"5","3","STRING Clusters","","Photosystem I PsaA/PsaB, and Protein domain specific binding","1.1E-4","psaF|psaA|psaB","16020","511|367|370","1.23E-6","","CL:1079","0.4047700476117479","0"
"8","3","UniProt Keywords","","Chlorophyll","3.9E-4","isiA|psaA|psaB","16020","358|367|370","3.62E-6","","KW-0148","0.3485657534522108","0"
"38","4","UniProt Keywords","","Electron transport","3.9E-4","isiB|psaA|psaB|petF-4","16020","355|367|370|256","5.0E-6","","KW-0249","0.3485657534522108","0"
"10","3","GO Molecular Function","","Chlorophyll binding","0.0037","isiA|psaA|psaB","16020","358|367|370","6.25E-6","","GO:0016168","0.24865287856189192","0"
"97","4","GO Cellular Component","","Plasma membrane-derived thylakoid membrane","0.004","psaJ|isiA|psaA|psaB","16020","514|358|367|370","1.7E-4","","GO:0031676","0.24519084978225256","0"
"87","4","UniProt Keywords","","Thylakoid","0.004","psaJ|isiA|psaA|psaB","16020","514|358|367|370","1.1E-4","","KW-0793","0.24519084978225256","0"
"111","5","GO Biological Process","","Photosynthesis","0.0043","psaF|psaJ|isiA|psaA|psaB","16020","511|514|358|367|370","1.17E-5","","GO:0015979","0.241979314876308","0"
"52","4","GO Molecular Function","","Electron transfer activity","0.0048","isiB|psaA|psaB|petF-4","16020","355|367|370|256","1.61E-5","","GO:0009055","0.23709451837486828","0"
"43","3","UniProt Keywords","","Iron-sulfur","0.0096","psaA|psaB|petF-4","16020","367|370|256","3.1E-4","","KW-0411","0.2063140150345555","0"
"84","4","GO Molecular Function","","Iron-sulfur cluster binding","0.0195","psaA|psaB|ACB00133.1|petF-4","16020","367|370|322|256","9.74E-5","","GO:0051536","0.17484501915060482","0"
"2","2","Pfam","","Photosystem I psaA/psaB protein","0.0226","psaA|psaB","16020","367|370","5.37E-5","","PF00223","0.168293430609373","0"
"1063","8","GO Cellular Component","","Intracellular anatomical structure","0.0271","psaF|psaJ|isiB|isiA|psaA|psaB|ACB00133.1|petF-4","16020","511|514|355|358|367|370|322|256","0.0025","","GO:0005622","0.16022985971953882","0"
"15","2","UniProt Keywords","","Stress response","0.0283","isiB|isiA","16020","355|358","0.0012","","KW-0346","0.15830579503464462","0"
