"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"14","4","KEGG Pathways","","Photosynthesis - antenna proteins","2.27E-5","cpcB|cpcA|cpcC|cpcD","655","341|355|353|361","2.34E-7","","syp00196","1.0","0"
"34","5","STRING Clusters","","Mixed, incl. Photosynthesis - antenna proteins, and Calycin","5.89E-5","ACA99920.1|cpcB|cpcA|cpcC|cpcD","655","181|341|355|353|361","9.1E-8","","CL:682","0.9108329579665363","0"
"14","4","STRING Clusters","","Photosynthesis - antenna proteins","7.58E-5","cpcB|cpcA|cpcC|cpcD","655","341|355|353|361","2.34E-7","","CL:691","0.8872424065388025","0"
"16","4","UniProt Keywords","","Phycobilisome","7.91E-5","cpcB|cpcA|cpcC|cpcD","655","341|355|353|361","3.7E-7","","KW-0605","0.8832571823974731","0"
"21","4","GO Cellular Component","","Phycobilisome","1.4E-4","cpcB|cpcA|cpcC|cpcD","655","341|355|353|361","9.57E-7","","GO:0030089","0.8298650780153638","0"
"6","3","STRING Clusters","","Photosynthesis - antenna proteins","3.0E-4","cpcB|cpcA|cpcC","655","341|355|353","2.63E-6","","CL:694","0.7585913781920983","0"
"31","4","COMPARTMENTS","","Thylakoid membrane","0.001","cpcB|cpcA|cpcC|cpcD","655","341|355|353|361","3.89E-6","","GOCC:0042651","0.6459984288772894","0"
"59","4","UniProt Keywords","","Photosynthesis","0.0045","cpcB|cpcA|cpcC|cpcD","655","341|355|353|361","4.22E-5","","KW-0602","0.5053403430033372","0"
"25","3","STRING Clusters","","Mostly uncharacterized, incl. Tab2-like, and DUF218 domain","0.0092","ACA99573.1|ACA99652.1|cpcV","655","293|205|253","9.91E-5","","CL:605","0.43846328813186114","0"
"97","4","GO Cellular Component","","Plasma membrane-derived thylakoid membrane","0.0129","cpcB|cpcA|cpcC|cpcD","655","341|355|353|361","2.7E-4","","GO:0031676","0.4068520262170898","0"
"87","4","UniProt Keywords","","Thylakoid","0.0129","cpcB|cpcA|cpcC|cpcD","655","341|355|353|361","1.8E-4","","KW-0793","0.4068520262170898","0"
"4","2","SMART Domains","","CpcD/allophycocyanin linker domain","0.016","cpcC|cpcD","655","353|361","1.7E-4","","SM01094","0.386711889885464","0"
"7","2","UniProt Keywords","","Bile pigment","0.0213","cpcB|cpcA","655","341|355","4.0E-4","","KW-0089","0.35995471661926903","0"
"6","2","STRING Clusters","","Mixed, incl. DUF218 domain, and Circadian oscillating protein COP23","0.0236","ACA99573.1|ACA99652.1","655","293|205","3.1E-4","","CL:642","0.3503654299088024","0"
"7","2","COMPARTMENTS","","Plasma membrane-derived thylakoid membrane","0.0261","cpcC|cpcD","655","353|361","4.0E-4","","GOCC:0031676","0.34094924820247086","0"
"14","2","COMPARTMENTS","","Phycobilisome","0.0429","cpcB|cpcA","655","341|355","0.0013","","GOCC:0030089","0.29447681355708744","0"
