Sample	CO2%	OD (Abs 730) when harvest	Ph	chlorophyll a (Chl a) / biomass	phycocyanin (PC) / biomass	Growth rate	Doubling time (h)	RNA (ng/µL)	Photons
S1	0.04	0.7605	7.618	0.3939316368993201	0.30368442506206117	0.0608	11.400447048683311	1032	250
S2	0.04	0.53708	7.571	0.5490660255889463	0.4166612839655075	0.0558	12.42199248315314	1120	250
S3	0.04	0.82324	7.64	0.3822475855844498	0.2896886811244471	0.0655	10.58239970320527	1544	250
S4	0.04	0.62128	7.588	0.5114448407842871	0.3881588924204499	0.0591	11.728378689677585	1248	250
S5	4	0.84708	7.44	0.1919892005742989	0.1348738600035679	0.1133	6.117803888437293	9240	250
S6	4	0.80258	7.43	0.23063127953753124	0.1665893907955858	0.1117	6.2054358152188485	5400	250
S7	4	0.87326	7.423	0.185583988730252	0.1306638049808074	0.1145	6.053687166462404	8560	250
S8	4	0.77674	7.444	0.1868604729501529	0.12150333012308136	0.1097	6.318570470008616	4440	250
S9	8	0.88568	7.697	0.19984063252371406	0.146996083555611	0.1108	6.2558409797829	5160	250
S10	8	0.87882	7.721	0.1880432158047643	0.1335889093980377	0.1097	6.318570470008616	10320	250
S11	8	0.8937	7.756	0.1949598853606667	0.138717970455203	0.1103	6.284199279781916	8040	250
S12	8	0.91544	7.716	0.1938574080853001	0.1420401943760717	0.1112	6.2333379546757675	6520	250
S13	30	0.76792	7.681	0.12272657581954381	0.12773419725317983	0.0358	19.36165308826663	2680	250
S14	30	0.73676	7.699	0.1146806294428944	0.11858361450865647	0.0366	18.938447556282657	3180	250
S15	30	0.71768	7.722	0.11820808900565549	0.12269917629653744	0.0363	19.094963651789126	4360	250
S16	30	0.79056	7.768	0.1148532956033594	0.11916443828719056	0.0375	18.483924814931875	4280	250
