lib	CO2	sample	lane
CO2-0-04percent_Lane1-S1_CO2-adaptation	0.04	S1	Lane1
CO2-0-04percent_Lane2-S2_CO2-adaptation	0.04	S2	Lane2
CO2-0-04percent_Lane2-S3_CO2-adaptation	0.04	S3	Lane2
CO2-0-04percent_Lane2-S4_CO2-adaptation	0.04	S4	Lane2
CO2-30percent_Lane1-S14_CO2-adaptation	30	S14	Lane1
CO2-30percent_Lane1-S16_CO2-adaptation	30	S16	Lane1
CO2-30percent_Lane2-S13_CO2-adaptation	30	S13	Lane2
CO2-30percent_Lane2-S15_CO2-adaptation	30	S15	Lane2
CO2-4percent_Lane1-S6_CO2-adaptation	4	S6	Lane1
CO2-4percent_Lane1-S7_CO2-adaptation	4	S7	Lane1
CO2-4percent_Lane2-S5_CO2-adaptation	4	S5	Lane2
CO2-4percent_Lane2-S8_CO2-adaptation	4	S8	Lane2
CO2-8percent_Lane1-S12_CO2-adaptation	8	S12	Lane1
CO2-8percent_Lane2-S10_CO2-adaptation	8	S10	Lane2
CO2-8percent_Lane2-S11_CO2-adaptation	8	S11	Lane2
CO2-8percent_Lane2-S9_CO2-adaptation	8	S9	Lane2
