lib	condition	sample	dataset
164mumol-photons_SRR2240033_Photosynthetic-Growth-SRP063309	164mumol-photons	SRR2240033	Photosynthetic-Growth-SRP063309
164mumol-photons_SRR2240034_Photosynthetic-Growth-SRP063309	164mumol-photons	SRR2240034	Photosynthetic-Growth-SRP063309
164mumol-photons_SRR2240035_Photosynthetic-Growth-SRP063309	164mumol-photons	SRR2240035	Photosynthetic-Growth-SRP063309
164mumol-photons_SRR2240036_Photosynthetic-Growth-SRP063309	164mumol-photons	SRR2240036	Photosynthetic-Growth-SRP063309
164mumol-photons_SRR2240037_Photosynthetic-Growth-SRP063309	164mumol-photons	SRR2240037	Photosynthetic-Growth-SRP063309
164mumol-photons_SRR2240038_Photosynthetic-Growth-SRP063309	164mumol-photons	SRR2240038	Photosynthetic-Growth-SRP063309
16-5pct-O2_SRR2336723_Regulatory-Landscape-SRP063549	16-5pct-O2	SRR2336723	Regulatory-Landscape-SRP063549
16-5pct-O2_SRR2336724_Regulatory-Landscape-SRP063549	16-5pct-O2	SRR2336724	Regulatory-Landscape-SRP063549
16-5pct-O2_SRR2336725_Regulatory-Landscape-SRP063549	16-5pct-O2	SRR2336725	Regulatory-Landscape-SRP063549
16-5pct-O2_SRR2336726_Regulatory-Landscape-SRP063549	16-5pct-O2	SRR2336726	Regulatory-Landscape-SRP063549
16-5pct-O2_SRR2336727_Regulatory-Landscape-SRP063549	16-5pct-O2	SRR2336727	Regulatory-Landscape-SRP063549
16-5pct-O2_SRR2336728_Regulatory-Landscape-SRP063549	16-5pct-O2	SRR2336728	Regulatory-Landscape-SRP063549
22C_SRR1057994_various-growth-conditions-SRP013965	22C	SRR1057994	various-growth-conditions-SRP013965
30C_SRR1057995_various-growth-conditions-SRP013965	30C	SRR1057995	various-growth-conditions-SRP013965
33mumol-photons_SRR2240021_Photosynthetic-Growth-SRP063309	33mumol-photons	SRR2240021	Photosynthetic-Growth-SRP063309
33mumol-photons_SRR2240022_Photosynthetic-Growth-SRP063309	33mumol-photons	SRR2240022	Photosynthetic-Growth-SRP063309
33mumol-photons_SRR2240023_Photosynthetic-Growth-SRP063309	33mumol-photons	SRR2240023	Photosynthetic-Growth-SRP063309
33mumol-photons_SRR2240024_Photosynthetic-Growth-SRP063309	33mumol-photons	SRR2240024	Photosynthetic-Growth-SRP063309
33mumol-photons_SRR2240025_Photosynthetic-Growth-SRP063309	33mumol-photons	SRR2240025	Photosynthetic-Growth-SRP063309
33mumol-photons_SRR2240026_Photosynthetic-Growth-SRP063309	33mumol-photons	SRR2240026	Photosynthetic-Growth-SRP063309
395mumol-photons_SRR2240039_Photosynthetic-Growth-SRP063309	395mumol-photons	SRR2240039	Photosynthetic-Growth-SRP063309
395mumol-photons_SRR2240040_Photosynthetic-Growth-SRP063309	395mumol-photons	SRR2240040	Photosynthetic-Growth-SRP063309
395mumol-photons_SRR2240041_Photosynthetic-Growth-SRP063309	395mumol-photons	SRR2240041	Photosynthetic-Growth-SRP063309
395mumol-photons_SRR2240042_Photosynthetic-Growth-SRP063309	395mumol-photons	SRR2240042	Photosynthetic-Growth-SRP063309
395mumol-photons_SRR2240043_Photosynthetic-Growth-SRP063309	395mumol-photons	SRR2240043	Photosynthetic-Growth-SRP063309
395mumol-photons_SRR2240044_Photosynthetic-Growth-SRP063309	395mumol-photons	SRR2240044	Photosynthetic-Growth-SRP063309
610mumol-photons_SRR2240045_Photosynthetic-Growth-SRP063309	610mumol-photons	SRR2240045	Photosynthetic-Growth-SRP063309
610mumol-photons_SRR2240046_Photosynthetic-Growth-SRP063309	610mumol-photons	SRR2240046	Photosynthetic-Growth-SRP063309
610mumol-photons_SRR2240047_Photosynthetic-Growth-SRP063309	610mumol-photons	SRR2240047	Photosynthetic-Growth-SRP063309
610mumol-photons_SRR2240048_Photosynthetic-Growth-SRP063309	610mumol-photons	SRR2240048	Photosynthetic-Growth-SRP063309
610mumol-photons_SRR2240049_Photosynthetic-Growth-SRP063309	610mumol-photons	SRR2240049	Photosynthetic-Growth-SRP063309
610mumol-photons_SRR2240050_Photosynthetic-Growth-SRP063309	610mumol-photons	SRR2240050	Photosynthetic-Growth-SRP063309
7-1pct-O2_SRR2336729_Regulatory-Landscape-SRP063549	7-1pct-O2	SRR2336729	Regulatory-Landscape-SRP063549
7-1pct-O2_SRR2336730_Regulatory-Landscape-SRP063549	7-1pct-O2	SRR2336730	Regulatory-Landscape-SRP063549
7-1pct-O2_SRR2336731_Regulatory-Landscape-SRP063549	7-1pct-O2	SRR2336731	Regulatory-Landscape-SRP063549
7-1pct-O2_SRR2336732_Regulatory-Landscape-SRP063549	7-1pct-O2	SRR2336732	Regulatory-Landscape-SRP063549
7-1pct-O2_SRR2336733_Regulatory-Landscape-SRP063549	7-1pct-O2	SRR2336733	Regulatory-Landscape-SRP063549
7-1pct-O2_SRR2336734_Regulatory-Landscape-SRP063549	7-1pct-O2	SRR2336734	Regulatory-Landscape-SRP063549
760mumol-photons_SRR2240051_Photosynthetic-Growth-SRP063309	760mumol-photons	SRR2240051	Photosynthetic-Growth-SRP063309
760mumol-photons_SRR2240052_Photosynthetic-Growth-SRP063309	760mumol-photons	SRR2240052	Photosynthetic-Growth-SRP063309
760mumol-photons_SRR2240053_Photosynthetic-Growth-SRP063309	760mumol-photons	SRR2240053	Photosynthetic-Growth-SRP063309
760mumol-photons_SRR2240054_Photosynthetic-Growth-SRP063309	760mumol-photons	SRR2240054	Photosynthetic-Growth-SRP063309
760mumol-photons_SRR2240055_Photosynthetic-Growth-SRP063309	760mumol-photons	SRR2240055	Photosynthetic-Growth-SRP063309
760mumol-photons_SRR2240056_Photosynthetic-Growth-SRP063309	760mumol-photons	SRR2240056	Photosynthetic-Growth-SRP063309
98mumol-photons_SRR2240027_Photosynthetic-Growth-SRP063309	98mumol-photons	SRR2240027	Photosynthetic-Growth-SRP063309
98mumol-photons_SRR2240028_Photosynthetic-Growth-SRP063309	98mumol-photons	SRR2240028	Photosynthetic-Growth-SRP063309
98mumol-photons_SRR2240029_Photosynthetic-Growth-SRP063309	98mumol-photons	SRR2240029	Photosynthetic-Growth-SRP063309
98mumol-photons_SRR2240030_Photosynthetic-Growth-SRP063309	98mumol-photons	SRR2240030	Photosynthetic-Growth-SRP063309
98mumol-photons_SRR2240031_Photosynthetic-Growth-SRP063309	98mumol-photons	SRR2240031	Photosynthetic-Growth-SRP063309
98mumol-photons_SRR2240032_Photosynthetic-Growth-SRP063309	98mumol-photons	SRR2240032	Photosynthetic-Growth-SRP063309
Ammonia_SRR308193_nutrient-limitaiton-SRP013965	Ammonia	SRR308193	nutrient-limitaiton-SRP013965
A_SRR5597249_RNaseIII-homologs-SRP107964	A	SRR5597249	RNaseIII-homologs-SRP107964
A_SRR5597250_RNaseIII-homologs-SRP107964	A	SRR5597250	RNaseIII-homologs-SRP107964
A_SRR5597251_RNaseIII-homologs-SRP107964	A	SRR5597251	RNaseIII-homologs-SRP107964
A_SRR5597252_RNaseIII-homologs-SRP107964	A	SRR5597252	RNaseIII-homologs-SRP107964
A_SRR5597253_RNaseIII-homologs-SRP107964	A	SRR5597253	RNaseIII-homologs-SRP107964
A_SRR5597254_RNaseIII-homologs-SRP107964	A	SRR5597254	RNaseIII-homologs-SRP107964
A_SRR5597255_RNaseIII-homologs-SRP107964	A	SRR5597255	RNaseIII-homologs-SRP107964
A_SRR5597256_RNaseIII-homologs-SRP107964	A	SRR5597256	RNaseIII-homologs-SRP107964
A_SRR5597257_RNaseIII-homologs-SRP107964	A	SRR5597257	RNaseIII-homologs-SRP107964
B_SRR5597258_RNaseIII-homologs-SRP107964	B	SRR5597258	RNaseIII-homologs-SRP107964
B_SRR5597259_RNaseIII-homologs-SRP107964	B	SRR5597259	RNaseIII-homologs-SRP107964
B_SRR5597260_RNaseIII-homologs-SRP107964	B	SRR5597260	RNaseIII-homologs-SRP107964
B_SRR5597261_RNaseIII-homologs-SRP107964	B	SRR5597261	RNaseIII-homologs-SRP107964
B_SRR5597262_RNaseIII-homologs-SRP107964	B	SRR5597262	RNaseIII-homologs-SRP107964
B_SRR5597263_RNaseIII-homologs-SRP107964	B	SRR5597263	RNaseIII-homologs-SRP107964
B_SRR5597264_RNaseIII-homologs-SRP107964	B	SRR5597264	RNaseIII-homologs-SRP107964
B_SRR5597265_RNaseIII-homologs-SRP107964	B	SRR5597265	RNaseIII-homologs-SRP107964
B_SRR5597266_RNaseIII-homologs-SRP107964	B	SRR5597266	RNaseIII-homologs-SRP107964
Carbon-limitated_SRR2336735_Regulatory-Landscape-SRP063549	Carbon-limitated	SRR2336735	Regulatory-Landscape-SRP063549
Carbon-limitated_SRR2336736_Regulatory-Landscape-SRP063549	Carbon-limitated	SRR2336736	Regulatory-Landscape-SRP063549
Carbon-limitated_SRR2336737_Regulatory-Landscape-SRP063549	Carbon-limitated	SRR2336737	Regulatory-Landscape-SRP063549
Carbon-limitated_SRR2336738_Regulatory-Landscape-SRP063549	Carbon-limitated	SRR2336738	Regulatory-Landscape-SRP063549
Carbon-limitated_SRR2336739_Regulatory-Landscape-SRP063549	Carbon-limitated	SRR2336739	Regulatory-Landscape-SRP063549
Carbon-limitated_SRR2336740_Regulatory-Landscape-SRP063549	Carbon-limitated	SRR2336740	Regulatory-Landscape-SRP063549
Carbon-limitated_SRR2336741_Regulatory-Landscape-SRP063549	Carbon-limitated	SRR2336741	Regulatory-Landscape-SRP063549
Carbon-limitated_SRR2336742_Regulatory-Landscape-SRP063549	Carbon-limitated	SRR2336742	Regulatory-Landscape-SRP063549
Carbon-limitated_SRR2336743_Regulatory-Landscape-SRP063549	Carbon-limitated	SRR2336743	Regulatory-Landscape-SRP063549
Carbon-limitated_SRR2336744_Regulatory-Landscape-SRP063549	Carbon-limitated	SRR2336744	Regulatory-Landscape-SRP063549
Carbon-limitated_SRR2336745_Regulatory-Landscape-SRP063549	Carbon-limitated	SRR2336745	Regulatory-Landscape-SRP063549
Carbon-limitated_SRR2336746_Regulatory-Landscape-SRP063549	Carbon-limitated	SRR2336746	Regulatory-Landscape-SRP063549
control_SRR1058000_nutrient-limitaiton-SRP013965	control	SRR1058000	nutrient-limitaiton-SRP013965
control_SRR3132695_Iron-limitation-SRP069025	control	SRR3132695	Iron-limitation-SRP069025
control_SRR3132696_Iron-limitation-SRP069025	control	SRR3132696	Iron-limitation-SRP069025
control_SRR3132697_Iron-limitation-SRP069025	control	SRR3132697	Iron-limitation-SRP069025
control_SRR4209644_PsaC-mutation-SRP087652	control	SRR4209644	PsaC-mutation-SRP087652
control_SRR5597246_RNaseIII-homologs-SRP107964	control	SRR5597246	RNaseIII-homologs-SRP107964
control_SRR5597247_RNaseIII-homologs-SRP107964	control	SRR5597247	RNaseIII-homologs-SRP107964
control_SRR5597248_RNaseIII-homologs-SRP107964	control	SRR5597248	RNaseIII-homologs-SRP107964
C_SRR5597267_RNaseIII-homologs-SRP107964	C	SRR5597267	RNaseIII-homologs-SRP107964
C_SRR5597268_RNaseIII-homologs-SRP107964	C	SRR5597268	RNaseIII-homologs-SRP107964
C_SRR5597269_RNaseIII-homologs-SRP107964	C	SRR5597269	RNaseIII-homologs-SRP107964
dark-anoxic_SRR097643_Transcriptome-Profiling-SRP004049	dark-anoxic	SRR097643	Transcriptome-Profiling-SRP004049
dark-oxic_SRR097642_Transcriptome-Profiling-SRP004049	dark-oxic	SRR097642	Transcriptome-Profiling-SRP004049
Fe-limited_SRR308191_nutrient-limitaiton-SRP013965	Fe-limited	SRR308191	nutrient-limitaiton-SRP013965
heat-shock_SRR1057531_various-growth-conditions-SRP013965	heat-shock	SRR1057531	various-growth-conditions-SRP013965
high-light_SRR097644_Transcriptome-Profiling-SRP004049	high-light	SRR097644	Transcriptome-Profiling-SRP004049
high-salt_SRR1058002_nutrient-limitaiton-SRP013965	high-salt	SRR1058002	nutrient-limitaiton-SRP013965
Light-limitated_SRR2336759_Regulatory-Landscape-SRP063549	Light-limitated	SRR2336759	Regulatory-Landscape-SRP063549
Light-limitated_SRR2336760_Regulatory-Landscape-SRP063549	Light-limitated	SRR2336760	Regulatory-Landscape-SRP063549
Light-limitated_SRR2336761_Regulatory-Landscape-SRP063549	Light-limitated	SRR2336761	Regulatory-Landscape-SRP063549
Light-limitated_SRR2336762_Regulatory-Landscape-SRP063549	Light-limitated	SRR2336762	Regulatory-Landscape-SRP063549
Light-limitated_SRR2336763_Regulatory-Landscape-SRP063549	Light-limitated	SRR2336763	Regulatory-Landscape-SRP063549
Light-limitated_SRR2336764_Regulatory-Landscape-SRP063549	Light-limitated	SRR2336764	Regulatory-Landscape-SRP063549
Light-limitated_SRR2336765_Regulatory-Landscape-SRP063549	Light-limitated	SRR2336765	Regulatory-Landscape-SRP063549
Light-limitated_SRR2336766_Regulatory-Landscape-SRP063549	Light-limitated	SRR2336766	Regulatory-Landscape-SRP063549
Light-limitated_SRR2336767_Regulatory-Landscape-SRP063549	Light-limitated	SRR2336767	Regulatory-Landscape-SRP063549
Light-limitated_SRR2336768_Regulatory-Landscape-SRP063549	Light-limitated	SRR2336768	Regulatory-Landscape-SRP063549
Light-limitated_SRR2336769_Regulatory-Landscape-SRP063549	Light-limitated	SRR2336769	Regulatory-Landscape-SRP063549
Light-limitated_SRR2336770_Regulatory-Landscape-SRP063549	Light-limitated	SRR2336770	Regulatory-Landscape-SRP063549
limited_SRR3132686_Iron-limitation-SRP069025	limited	SRR3132686	Iron-limitation-SRP069025
limited_SRR3132687_Iron-limitation-SRP069025	limited	SRR3132687	Iron-limitation-SRP069025
limited_SRR3132688_Iron-limitation-SRP069025	limited	SRR3132688	Iron-limitation-SRP069025
limited_SRR3132689_Iron-limitation-SRP069025	limited	SRR3132689	Iron-limitation-SRP069025
limited_SRR3132690_Iron-limitation-SRP069025	limited	SRR3132690	Iron-limitation-SRP069025
limited_SRR3132691_Iron-limitation-SRP069025	limited	SRR3132691	Iron-limitation-SRP069025
limited_SRR3132692_Iron-limitation-SRP069025	limited	SRR3132692	Iron-limitation-SRP069025
limited_SRR3132693_Iron-limitation-SRP069025	limited	SRR3132693	Iron-limitation-SRP069025
limited_SRR3132694_Iron-limitation-SRP069025	limited	SRR3132694	Iron-limitation-SRP069025
low-CO2_SRR308187_nutrient-limitaiton-SRP013965	low-CO2	SRR308187	nutrient-limitaiton-SRP013965
low-O2_SRR097656_Transcriptome-Profiling-SRP004049	low-O2	SRR097656	Transcriptome-Profiling-SRP004049
low-salt_SRR1058001_nutrient-limitaiton-SRP013965	low-salt	SRR1058001	nutrient-limitaiton-SRP013965
Methyl-viologen-oxidative-stress_SRR1057996_various-growth-conditions-SRP013965	Methyl-viologen-oxidative-stress	SRR1057996	various-growth-conditions-SRP013965
Mixotrophic-growth-glycerol_SRR1057997_various-growth-conditions-SRP013965	Mixotrophic-growth-glycerol	SRR1057997	various-growth-conditions-SRP013965
Nitrate_SRR308192_nutrient-limitaiton-SRP013965	Nitrate	SRR308192	nutrient-limitaiton-SRP013965
Nitrogen-limitated_SRR2336747_Regulatory-Landscape-SRP063549	Nitrogen-limitated	SRR2336747	Regulatory-Landscape-SRP063549
Nitrogen-limitated_SRR2336748_Regulatory-Landscape-SRP063549	Nitrogen-limitated	SRR2336748	Regulatory-Landscape-SRP063549
Nitrogen-limitated_SRR2336749_Regulatory-Landscape-SRP063549	Nitrogen-limitated	SRR2336749	Regulatory-Landscape-SRP063549
Nitrogen-limitated_SRR2336750_Regulatory-Landscape-SRP063549	Nitrogen-limitated	SRR2336750	Regulatory-Landscape-SRP063549
Nitrogen-limitated_SRR2336751_Regulatory-Landscape-SRP063549	Nitrogen-limitated	SRR2336751	Regulatory-Landscape-SRP063549
Nitrogen-limitated_SRR2336752_Regulatory-Landscape-SRP063549	Nitrogen-limitated	SRR2336752	Regulatory-Landscape-SRP063549
Nitrogen-limitated_SRR2336753_Regulatory-Landscape-SRP063549	Nitrogen-limitated	SRR2336753	Regulatory-Landscape-SRP063549
Nitrogen-limitated_SRR2336754_Regulatory-Landscape-SRP063549	Nitrogen-limitated	SRR2336754	Regulatory-Landscape-SRP063549
Nitrogen-limitated_SRR2336755_Regulatory-Landscape-SRP063549	Nitrogen-limitated	SRR2336755	Regulatory-Landscape-SRP063549
Nitrogen-limitated_SRR2336756_Regulatory-Landscape-SRP063549	Nitrogen-limitated	SRR2336756	Regulatory-Landscape-SRP063549
Nitrogen-limitated_SRR2336757_Regulatory-Landscape-SRP063549	Nitrogen-limitated	SRR2336757	Regulatory-Landscape-SRP063549
Nitrogen-limitated_SRR2336758_Regulatory-Landscape-SRP063549	Nitrogen-limitated	SRR2336758	Regulatory-Landscape-SRP063549
N-limited_SRR308188_nutrient-limitaiton-SRP013965	N-limited	SRR308188	nutrient-limitaiton-SRP013965
OD0-4_SRR097648_Transcriptome-Profiling-SRP004049	OD0-4	SRR097648	Transcriptome-Profiling-SRP004049
