Geneid	CO2-0-04percent_Lane1-S1_CO2-adaptation	CO2-0-04percent_Lane2-S2_CO2-adaptation	CO2-0-04percent_Lane2-S3_CO2-adaptation	CO2-0-04percent_Lane2-S4_CO2-adaptation	CO2-30percent_Lane1-S14_CO2-adaptation	CO2-30percent_Lane1-S16_CO2-adaptation	CO2-30percent_Lane2-S13_CO2-adaptation	CO2-30percent_Lane2-S15_CO2-adaptation	CO2-4percent_Lane1-S6_CO2-adaptation	CO2-4percent_Lane1-S7_CO2-adaptation	CO2-4percent_Lane2-S5_CO2-adaptation	CO2-4percent_Lane2-S8_CO2-adaptation	CO2-8percent_Lane1-S12_CO2-adaptation	CO2-8percent_Lane2-S10_CO2-adaptation	CO2-8percent_Lane2-S11_CO2-adaptation	CO2-8percent_Lane2-S9_CO2-adaptation
Candidate_RF01343_CRISPR-DR33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidate_RF01701_Cyano-1	0	0	0	0	0	0	0	6	0	0	0	0	2	0	0	4
Candidate_RF02514_5_ureB_sRNA	2	9	4	3	11	11	9	11	10	18	16	11	14	4	15	7
Candidate_RF02701_PsrR1	10	12	8	36	124	44	91	291	19	31	16	19	7	11	27	41
gene-SYNPCC7002_RS00010	469	455	496	464	793	559	598	528	534	853	620	786	532	398	569	433
gene-SYNPCC7002_RS00015	520	482	532	490	700	426	478	487	620	734	409	518	541	430	591	428
gene-SYNPCC7002_RS00025	107	96	101	111	67	70	74	82	76	92	95	94	36	49	88	69
gene-SYNPCC7002_RS00030	169	173	217	201	105	80	97	113	125	154	98	168	103	94	120	75
gene-SYNPCC7002_RS00035	75	84	92	86	163	112	105	102	142	185	140	167	125	95	124	78
gene-SYNPCC7002_RS00040	408	320	304	316	930	592	512	472	1002	1191	875	961	824	486	813	596
gene-SYNPCC7002_RS00045	477	404	360	355	741	606	574	522	645	868	533	688	584	406	639	476
gene-SYNPCC7002_RS00050	116	60	86	76	133	97	84	68	146	117	93	133	108	62	80	92
gene-SYNPCC7002_RS00055	1757	1491	1585	1524	2729	2563	2244	1953	859	1212	760	1255	1081	852	942	870
gene-SYNPCC7002_RS00060	659	478	762	599	693	557	505	446	239	363	317	426	262	149	224	247
gene-SYNPCC7002_RS16035	1230	1233	1720	1664	1162	869	744	834	361	589	352	428	435	250	318	315
gene-SYNPCC7002_RS00070	2912	2928	3973	3439	2347	1841	1824	1617	845	1140	917	1312	1054	609	924	871
