CO2%	sample	batch	Reads	Cleaned reads	Non rRNA	Mapped	Filtered alignment	Assigned
0.04	S1	Lane1	28,254,664	25,279,046 (89.5%)	18,148,664 (71.8%)	9,055,212 (49.9%)	8,595,773 (94.9%)	7,521,436 (87.5%)
0.04	S2	Lane2	21,951,686	19,962,212 (90.9%)	17,112,284 (85.7%)	8,530,534 (49.9%)	8,053,769 (94.4%)	7,088,516 (88.0%)
0.04	S3	Lane2	22,412,750	20,360,206 (90.8%)	16,162,410 (79.4%)	8,066,444 (49.9%)	7,633,363 (94.6%)	6,663,299 (87.3%)
0.04	S4	Lane2	23,722,106	21,653,128 (91.3%)	17,865,049 (82.5%)	8,912,107 (49.9%)	8,393,229 (94.2%)	7,368,170 (87.8%)
4	S5	Lane2	33,491,632	30,518,008 (91.1%)	18,632,331 (61.1%)	9,272,936 (49.8%)	8,860,609 (95.6%)	7,856,514 (88.7%)
4	S6	Lane1	32,520,248	29,370,738 (90.3%)	21,109,629 (71.9%)	10,498,792 (49.7%)	10,083,218 (96.0%)	8,979,498 (89.1%)
4	S7	Lane1	44,247,982	40,326,748 (91.1%)	27,798,652 (68.9%)	13,844,386 (49.8%)	13,287,181 (96.0%)	11,783,496 (88.7%)
4	S8	Lane2	34,293,556	30,991,000 (90.4%)	20,549,969 (66.3%)	10,199,910 (49.6%)	9,796,239 (96.0%)	8,709,741 (88.9%)
8	S10	Lane2	22,515,400	20,386,498 (90.5%)	14,364,986 (70.5%)	7,141,197 (49.7%)	6,853,914 (96.0%)	6,121,807 (89.3%)
8	S11	Lane2	31,021,550	28,095,966 (90.6%)	20,708,601 (73.7%)	10,315,920 (49.8%)	9,902,572 (96.0%)	8,806,447 (88.9%)
8	S12	Lane1	32,456,336	28,977,680 (89.3%)	21,170,501 (73.1%)	10,524,775 (49.7%)	10,107,177 (96.0%)	8,978,630 (88.8%)
8	S9	Lane2	25,710,940	23,393,590 (91.0%)	16,272,489 (69.6%)	8,099,112 (49.8%)	7,771,225 (96.0%)	6,878,864 (88.5%)
30	S13	Lane2	26,531,698	24,051,356 (90.7%)	15,802,066 (65.7%)	7,877,403 (49.9%)	7,526,970 (95.6%)	6,742,519 (89.6%)
30	S14	Lane1	35,876,102	32,747,244 (91.3%)	21,394,180 (65.3%)	10,667,003 (49.9%)	10,162,735 (95.3%)	9,087,448 (89.4%)
30	S15	Lane2	26,104,356	23,409,980 (89.7%)	15,367,408 (65.6%)	7,658,194 (49.8%)	7,304,565 (95.4%)	6,558,654 (89.8%)
30	S16	Lane1	29,588,516	26,678,106 (90.2%)	16,980,606 (63.6%)	8,458,620 (49.8%)	8,063,308 (95.3%)	7,222,741 (89.6%)
