Geneid	seqnames	start	end	strand	type	name	locus_tag	old_locus_tag	product	CO2-0-04percent_Lane1-S1_CO2-adaptation	CO2-0-04percent_Lane2-S2_CO2-adaptation	CO2-0-04percent_Lane2-S3_CO2-adaptation	CO2-0-04percent_Lane2-S4_CO2-adaptation	CO2-4percent_Lane2-S5_CO2-adaptation	CO2-4percent_Lane1-S6_CO2-adaptation	CO2-4percent_Lane1-S7_CO2-adaptation	CO2-4percent_Lane2-S8_CO2-adaptation	CO2-8percent_Lane2-S9_CO2-adaptation	CO2-8percent_Lane2-S10_CO2-adaptation	CO2-8percent_Lane2-S11_CO2-adaptation	CO2-8percent_Lane1-S12_CO2-adaptation	CO2-30percent_Lane2-S13_CO2-adaptation	CO2-30percent_Lane1-S14_CO2-adaptation	CO2-30percent_Lane2-S15_CO2-adaptation	CO2-30percent_Lane1-S16_CO2-adaptation
K00147_upstream.fna.motif.h1_1;High-covariation	NC_010475.1	608896	608927	+	CRS	K00147_upstream.fna.motif.h1_1;High-covariation	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01889_upstream.fna.motif.h1_1;High-power	NC_010475.1	523054	523087	+	CRS	K01889_upstream.fna.motif.h1_1;High-power	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02014_upstream.fna.motif.h1_4;High-covariation	NC_010475.1	1092827	1092864	+	CRS	K02014_upstream.fna.motif.h1_4;High-covariation	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02094_upstream.fna.motif.h1_2.h1_4;High-covariation	NC_010475.1	2013215	2013311	-	CRS	K02094_upstream.fna.motif.h1_2.h1_4;High-covariation	NA	NA	NA	3937.661494653543	3648.8501909345223	2385.942504495059	2820.779800980334	6837.881590679269	5459.834714204267	5710.513764446444	5345.312124696619	7350.705171618807	5668.803475732574	5823.864612212251	8101.054250397806	2925.888429149211	3017.054840865376	3059.2308635088593	3425.39881645819
K03320_upstream.fna.motif.h1_3;High-covariation	NC_010475.1	2297938	2297970	+	CRS	K03320_upstream.fna.motif.h1_3;High-covariation	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03325_upstream.fna.motif.h2_1;High-power	NC_010475.1	619743	619799	-	CRS	K03325_upstream.fna.motif.h2_1;High-power	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K10716_upstream.fna.motif.h1_4;Conserved-sequence	NC_010475.1	339848	339892	-	CRS	K10716_upstream.fna.motif.h1_4;Conserved-sequence	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03665_upstream.fna.motif.h1_2.h2_1;High-power	NC_010475.1	974488	974541	+	CRS	K03665_upstream.fna.motif.h1_2.h2_1;High-power	NA	NA	NA	0	0	0	0	0	1.76010145525605	0	0	4.656028612268445	0	0	0	0	0	2.1025641673600406	0
K21903_upstream.fna.motif.h2_1;High-covariation	NC_010475.1	2672077	2672139	+	CRS	K21903_upstream.fna.motif.h2_1;High-covariation	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	1.8804858289351791	0	3.930004605976106	1.455054179341874	0	1.8234755477552251
K04485_upstream.fna.motif.h2_3;High-power	NC_010475.1	1008001	1008057	-	CRS	K04485_upstream.fna.motif.h2_3;High-power	NA	NA	NA	0	0	0	2.649863598854236	0	0	0	0	0	0	0	0	0	0	0	0
K04485_upstream.fna.motif.h1_3;High-power	NC_010475.1	1008015	1008057	-	CRS	K04485_upstream.fna.motif.h1_3;High-power	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
