Geneid	baseMean	test	log2FoldChange	pvalue	padj	is.de	seqnames	start	end	strand	type	name	locus_tag	old_locus_tag	product	length
Candidate_RF01701_Cyano-1	0.7978217666087316	Other->30% CO2	1.8677373484431692	0.591152535683211	0.6627638633310557	FALSE	NC_010475.1	1529205	1529274	-	Cyano-1	RF01701_Cyano-1	NA	NA	NA	70
Candidate_RF02514_5_ureB_sRNA	9.190816152486127	Other->30% CO2	0.2829615909862262	0.49067800005529333	0.5667367080200112	FALSE	NC_010475.1	204269	204555	+	5' ureB sRNA	RF02514_5_ureB_sRNA	NA	NA	NA	287
Candidate_RF02701_PsrR1	48.30754760744393	Other->30% CO2	2.665972479058422	1.6656546705118528e-6	5.5867752707718426e-6	TRUE	NC_010475.1	1264237	1264325	+	PsrR1	RF02701_PsrR1	NA	NA	NA	89
gene-SYNPCC7002_RS00010	558.2275485218364	Other->30% CO2	-0.023821980656293065	0.7829067929559589	0.828839377662323	FALSE	NC_010475.1	1	1350	+	protein-coding	dnaA	SYNPCC7002_RS00010	SYNPCC7002_A0001	chromosomal replication initiator protein DnaA	1350
gene-SYNPCC7002_RS00015	524.5260534724486	Other->30% CO2	-0.2565820821553625	0.00889346360851817	0.016528128570491192	TRUE	NC_010475.1	1424	2353	+	protein-coding	SYNPCC7002_RS00015	SYNPCC7002_RS00015	SYNPCC7002_A0002	cobalamin-binding protein	930
gene-SYNPCC7002_RS00025	84.48377360631235	Other->30% CO2	-0.49910021151309814	0.010755231079153925	0.019571490921502635	TRUE	NC_010475.1	2832	3110	-	protein-coding	nrtS2	SYNPCC7002_RS00025	SYNPCC7002_A0004	nitrate/nitrite transporter NrtS2	279
gene-SYNPCC7002_RS00030	136.7044319240169	Other->30% CO2	-0.8333316680475709	4.213700701293644e-8	1.6865245681757704e-7	TRUE	NC_010475.1	3152	3406	-	protein-coding	nrtS1	SYNPCC7002_RS00030	SYNPCC7002_A0005	nitrate/nitrite transporter NrtS1	255
gene-SYNPCC7002_RS00035	114.00446646066163	Other->30% CO2	-0.06985625788878704	0.5833290213926892	0.6551296033026377	FALSE	NC_010475.1	3441	4133	-	protein-coding	SYNPCC7002_RS00035	SYNPCC7002_RS00035	SYNPCC7002_A0006	N-acetylmannosamine-6-phosphate 2-epimerase	693
gene-SYNPCC7002_RS00040	628.5586721348656	Other->30% CO2	-0.03764448478981496	0.6870373973193153	0.7466792709762412	FALSE	NC_010475.1	4152	4796	-	protein-coding	purN	SYNPCC7002_RS00040	SYNPCC7002_A0007	phosphoribosylglycinamide formyltransferase	645
gene-SYNPCC7002_RS00045	540.3012685010184	Other->30% CO2	0.06373189138677708	0.313048452720161	0.3886740385551061	FALSE	NC_010475.1	4889	5230	-	protein-coding	SYNPCC7002_RS00045	SYNPCC7002_RS00045	SYNPCC7002_A0008	phosphomannose isomerase type II C-terminal cupin domain	342
gene-SYNPCC7002_RS00050	95.39935066222277	Other->30% CO2	-0.23903763109433296	0.13845090209306354	0.19336454114158194	FALSE	NC_010475.1	5271	5630	-	protein-coding	SYNPCC7002_RS00050	SYNPCC7002_RS00050	SYNPCC7002_A0009	Spx/MgsR family RNA polymerase-binding regulatory protein	360
gene-SYNPCC7002_RS00055	1492.7086980377499	Other->30% CO2	0.6673476067176897	8.462768300822078e-13	5.090268456546613e-12	TRUE	NC_010475.1	5742	6824	+	protein-coding	SYNPCC7002_RS00055	SYNPCC7002_RS00055	SYNPCC7002_A0010	class I fructose-bisphosphate aldolase	1083
