Geneid	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	length
Candidate_RF01701_Cyano-1	0	0	0	0	0	0	0	0	4	0	0	2	0	0	6	0	70
Candidate_RF02514_5_ureB_sRNA	2	9	4	3	16	10	18	11	7	4	15	14	9	11	11	11	287
Candidate_RF02701_PsrR1	10	12	8	36	16	19	31	19	41	11	27	7	91	124	291	44	89
gene-SYNPCC7002_RS00010	469	455	496	464	620	534	853	786	433	398	569	532	598	793	528	559	1350
gene-SYNPCC7002_RS00015	520	482	532	490	409	620	734	518	428	430	591	541	478	700	487	426	930
gene-SYNPCC7002_RS00025	107	96	101	111	95	76	92	94	69	49	88	36	74	67	82	70	279
gene-SYNPCC7002_RS00030	169	173	217	201	98	125	154	168	75	94	120	103	97	105	113	80	255
gene-SYNPCC7002_RS00035	75	84	92	86	140	142	185	167	78	95	124	125	105	163	102	112	693
gene-SYNPCC7002_RS00040	408	320	304	316	875	1002	1191	961	596	486	813	824	512	930	472	592	645
gene-SYNPCC7002_RS00045	477	404	360	355	533	645	868	688	476	406	639	584	574	741	522	606	342
gene-SYNPCC7002_RS00050	116	60	86	76	93	146	117	133	92	62	80	108	84	133	68	97	360
gene-SYNPCC7002_RS00055	1757	1491	1585	1524	760	859	1212	1255	870	852	942	1081	2244	2729	1953	2563	1083
gene-SYNPCC7002_RS00060	659	478	762	599	317	239	363	426	247	149	224	262	505	693	446	557	570
gene-SYNPCC7002_RS16035	1237	1238	1723	1671	353	361	593	430	315	250	318	436	746	1170	837	871	663
gene-SYNPCC7002_RS00070	2918	2936	3983	3443	917	847	1142	1315	873	611	927	1054	1827	2355	1618	1844	1317
gene-SYNPCC7002_RS00075	2001	1531	1943	1599	1217	1590	1812	1577	1051	991	1311	1398	1746	2262	1574	1704	756
gene-SYNPCC7002_RS00080	372	289	373	301	387	406	452	447	292	209	362	420	545	739	479	594	915
gene-SYNPCC7002_RS00085	261	200	240	243	124	169	186	143	100	90	165	129	153	190	171	148	381
gene-SYNPCC7002_RS00090	373	326	360	395	167	204	255	178	132	105	175	182	187	255	158	183	303
gene-SYNPCC7002_RS00095	711	632	795	664	425	453	643	475	319	280	471	440	451	650	453	512	231
gene-SYNPCC7002_RS00100	879	736	750	683	598	674	897	895	507	421	535	678	767	1023	746	897	1539
gene-SYNPCC7002_RS00105	231	226	214	201	294	289	416	362	234	176	266	281	293	467	294	353	540
gene-SYNPCC7002_RS00110	1064	843	917	906	1764	2188	2604	2425	1558	1406	1983	2006	2582	3601	2557	2764	888
gene-SYNPCC7002_RS00115	409	347	293	297	562	735	862	714	440	464	618	580	523	706	479	493	4161
gene-SYNPCC7002_RS00120	1168	1041	1123	1209	1047	1746	2012	1594	1043	1173	1559	1335	1315	1813	1511	1265	849
gene-SYNPCC7002_RS00130	626	500	422	439	1116	1512	2007	1684	829	898	1218	1237	1191	1593	1227	1197	804
gene-SYNPCC7002_RS00135	654	530	571	603	466	664	783	775	376	420	570	576	776	1075	746	873	1353
gene-SYNPCC7002_RS00140	232	249	225	238	171	145	174	193	155	99	160	218	217	207	145	211	441
gene-SYNPCC7002_RS00145	573	391	387	472	368	431	573	449	297	292	411	437	461	712	472	500	1080
gene-SYNPCC7002_RS00150	560	458	470	491	444	526	706	540	383	348	541	496	500	628	452	485	618
gene-SYNPCC7002_RS00155	320	211	194	169	508	530	609	609	359	313	423	559	420	502	350	507	1032
gene-SYNPCC7002_RS00160	5745	5498	5216	5737	7667	10166	12306	10814	6889	8258	10459	9217	7984	11358	8135	7833	489
gene-SYNPCC7002_RS16250	2834983	3069407	3002030	3618293	1307302	1316187	1749778	1408708	1170076	920680	1528899	1569358	2179353	2896896	2276645	2357411	396
gene-SYNPCC7002_RS00165	1947	1848	1961	1965	2548	2848	3891	2969	2086	1821	2801	2621	2203	3093	2304	2430	1320
gene-SYNPCC7002_RS00170	688	670	504	544	1841	2114	2776	1881	1688	1220	2071	2239	1454	2184	1341	1645	846
gene-SYNPCC7002_RS00175	2041	1853	1482	1575	5790	6525	8816	5930	5040	4526	6284	6467	4317	6086	4522	4822	1617
gene-SYNPCC7002_RS00180	556	568	645	625	83	129	159	111	75	63	108	103	247	362	255	262	975
gene-SYNPCC7002_RS00185	1528	1197	868	876	3786	4108	5935	4300	3439	2857	4178	4416	4191	5468	3700	4496	1011
gene-SYNPCC7002_RS00190	727	657	526	488	1481	1509	2027	1676	1271	918	1429	1870	1619	2211	1655	1874	912
gene-SYNPCC7002_RS00195	311	246	206	251	710	749	1193	782	583	586	923	900	707	1046	847	820	903
gene-SYNPCC7002_RS00200	38	29	48	53	133	135	211	115	116	102	136	176	130	151	117	155	450
gene-SYNPCC7002_RS00205	42560	43694	40122	45668	27197	32160	42542	34453	23836	22990	32216	29952	42705	62466	43819	44698	1863
gene-SYNPCC7002_RS00210	4127	3352	3306	3315	3292	3811	5401	4700	2299	2352	3401	3440	4071	4830	3383	4304	5796
gene-SYNPCC7002_RS00215	628	585	485	562	4799	5876	6878	6219	5077	4623	5957	6700	5902	8707	6288	6677	342
gene-SYNPCC7002_RS00220	1807	1444	1366	1303	1029	1182	1621	1303	890	648	989	1100	1628	2177	1567	1942	1542
gene-SYNPCC7002_RS00225	315	191	144	171	389	516	651	440	304	367	468	515	325	577	348	458	678
gene-SYNPCC7002_RS00230	7582	6233	7017	7551	2758	4205	4687	3265	2325	1995	2942	2934	3421	4712	3292	3632	1209
gene-SYNPCC7002_RS00235	1524	1159	1159	1147	1002	1109	1219	1037	743	585	723	1110	971	1088	692	1107	363
gene-SYNPCC7002_RS00240	1821	1351	1526	1642	1090	1465	1635	1272	720	708	1045	1214	1121	1425	1011	1257	492
gene-SYNPCC7002_RS00245	19646	16188	17417	17485	8984	13213	15231	11423	6915	6824	8489	9814	11359	14300	10372	12174	4395
gene-SYNPCC7002_RS00250	4701	3937	4900	4758	2457	3722	4080	2993	1872	1897	2877	2629	2550	3218	2377	2535	3135
gene-SYNPCC7002_RS00255	1905	1776	1536	1432	3626	3835	4671	4774	2899	2544	3669	4143	4636	6814	4311	5437	654
gene-SYNPCC7002_RS00260	1675	1378	1536	1366	2921	3102	3877	3351	2559	1985	2914	3092	2884	4042	2652	3216	348
gene-SYNPCC7002_RS00265	1565	1298	1148	1032	4313	5018	6452	4444	3638	3399	4725	4883	3232	4351	3021	3351	498
gene-SYNPCC7002_RS00270	3374	2440	2095	2035	9082	9335	11859	9299	7458	6222	8415	9970	6047	7934	5168	6504	558
gene-SYNPCC7002_RS00275	147	105	132	165	98	157	178	142	76	105	147	142	154	233	189	177	657
gene-SYNPCC7002_RS00280	495	465	607	485	345	367	422	468	293	227	345	346	371	561	405	421	420
gene-SYNPCC7002_RS00285	455	451	501	466	306	262	418	414	239	191	338	320	365	475	332	362	240
gene-SYNPCC7002_RS00290	16387	17390	19449	20262	5346	6716	7767	7892	4315	4244	5859	5928	7552	10653	7436	7606	900
gene-SYNPCC7002_RS00295	3464	3364	3348	3527	3641	4526	5603	4034	3520	2908	4324	4369	4035	5537	4000	4359	960
gene-SYNPCC7002_RS00300	1227	1104	1282	1327	1152	1621	2086	1221	1108	1025	1362	1391	1329	1809	1278	1323	210
gene-SYNPCC7002_RS00305	200	84	78	76	836	849	985	859	643	459	748	736	526	671	447	510	399
gene-SYNPCC7002_RS00310	717	620	673	745	517	670	923	693	576	477	611	707	862	1088	835	820	720
gene-SYNPCC7002_RS00315	998	887	1049	951	803	917	1268	1169	703	610	903	1052	1095	1603	1025	1385	501
gene-SYNPCC7002_RS00320	2940	2429	2188	2295	2757	3517	4573	3768	2258	2401	3020	3123	3419	4555	3183	3639	3003
gene-SYNPCC7002_RS00325	2176	1531	1774	1796	1161	1162	1686	1429	827	640	1097	1148	897	1128	776	923	1509
gene-SYNPCC7002_RS00330	328	311	295	238	359	345	495	458	297	240	391	367	424	536	324	401	255
gene-SYNPCC7002_RS00335	1336	1099	1170	1035	1763	1755	2836	2382	1472	1413	1861	1869	1647	1975	1545	1780	1431
gene-SYNPCC7002_RS00340	279	283	285	250	337	320	528	394	355	254	377	381	357	464	292	365	180
gene-SYNPCC7002_RS00345	201	124	122	128	683	604	888	695	507	395	639	689	383	569	447	388	1173
gene-SYNPCC7002_RS00350	421	261	253	212	1057	1182	1627	1410	899	749	926	1221	962	1119	785	1122	798
gene-SYNPCC7002_RS00355	752	605	431	427	1941	2064	2550	2157	1570	1427	1974	2027	1462	1839	1203	1686	468
gene-SYNPCC7002_RS00360	140	127	117	78	328	289	432	360	267	238	365	329	310	374	263	307	258
gene-SYNPCC7002_RS00365	766	562	634	564	1265	1334	1739	1332	1072	1018	1288	1449	1041	1208	953	1097	837
gene-SYNPCC7002_RS00370	4158	3477	2271	2565	11875	13296	17733	14314	9129	8933	12547	12279	8053	10673	7454	8816	1293
gene-SYNPCC7002_RS16605	3	0	0	1	5	3	3	4	0	2	7	6	5	6	7	6	204
gene-SYNPCC7002_RS00375	1107	869	801	853	1749	1842	2245	2231	1346	1192	1619	1833	2653	3315	2271	2974	396
gene-SYNPCC7002_RS00380	1083	1070	966	946	2008	2351	3233	2662	1587	1361	2129	2068	3316	4534	3033	3618	1593
