Geneid	Chr	Start	End	Strand	Length	CO2-0-04percent_Lane1-S1_CO2-adaptation	CO2-0-04percent_Lane2-S2_CO2-adaptation	CO2-0-04percent_Lane2-S3_CO2-adaptation	CO2-0-04percent_Lane2-S4_CO2-adaptation	CO2-30percent_Lane1-S14_CO2-adaptation	CO2-30percent_Lane1-S16_CO2-adaptation	CO2-30percent_Lane2-S13_CO2-adaptation	CO2-30percent_Lane2-S15_CO2-adaptation	CO2-4percent_Lane1-S6_CO2-adaptation	CO2-4percent_Lane1-S7_CO2-adaptation	CO2-4percent_Lane2-S5_CO2-adaptation	CO2-4percent_Lane2-S8_CO2-adaptation	CO2-8percent_Lane1-S12_CO2-adaptation	CO2-8percent_Lane2-S10_CO2-adaptation	CO2-8percent_Lane2-S11_CO2-adaptation	CO2-8percent_Lane2-S9_CO2-adaptation
K01889_upstream.fna.motif.h1_1;High-power	NC_010475.1	523054	523087	+	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03325_upstream.fna.motif.h2_1;High-power	NC_010475.1	619743	619799	-	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03665_upstream.fna.motif.h1_2.h2_1;High-power	NC_010475.1	974488	974541	+	54	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4
K04485_upstream.fna.motif.h1_3;High-power	NC_010475.1	1008015	1008057	-	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K04485_upstream.fna.motif.h2_3;High-power	NC_010475.1	1008001	1008057	-	57	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
K07086_upstream.fna.motif.h2_3;High-power	NC_010475.1	502378	502432	-	55	6	16	10	34	0	0	0	0	0	0	0	0	0	0	0	0
K09121_upstream.fna.motif.h1_4;High-power	NC_010475.1	1795155	1795196	+	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K09942_upstream.fna.motif.h2_1;High-power	NC_010475.1	175136	175182	-	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K21703_upstream.fna.motif.h2_1;High-power	NC_010475.1	1241338	1241383	+	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K21703_upstream.fna.motif.h2_5;High-power	NC_010475.1	1241331	1241381	+	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K07086_upstream.fna.motif.h1_1;Conserved-sequence	NC_010475.1	502385	502418	-	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K10716_upstream.fna.motif.h1_4;Conserved-sequence	NC_010475.1	339848	339892	-	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00147_upstream.fna.motif.h1_1;High-covariation	NC_010475.1	608896	608927	+	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02014_upstream.fna.motif.h1_4;High-covariation	NC_010475.1	1092827	1092864	+	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02094_upstream.fna.motif.h1_2.h1_4;High-covariation	NC_010475.1	2013215	2013311	-	97	3518	2813	1838	2129	4147	3757	2978	2910	6204	8593	6990	6568	8995	4276	6194	6315
K02110_downstream.fna.motif.h1_5;High-covariation	NC_010475.1	768074	768129	-	56	4	0	0	8	12	6	22	42	22	70	38	12	8	18	48	32
K03320_upstream.fna.motif.h1_3;High-covariation	NC_010475.1	2297938	2297970	+	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K21903_upstream.fna.motif.h2_1;High-covariation	NC_010475.1	2672077	2672139	+	63	0	0	0	0	2	2	4	0	0	0	0	0	0	0	2	0
Candidate_RF01343_CRISPR-DR33	NC_010478.1	26728	26764	+	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidate_RF01701_Cyano-1	NC_010475.1	1529205	1529274	-	70	0	0	0	0	0	0	0	6	0	0	0	0	2	0	0	4
Candidate_RF02514_5_ureB_sRNA	NC_010475.1	204269	204555	+	287	2	9	4	3	11	11	9	11	10	18	16	11	14	4	15	7
Candidate_RF02701_PsrR1	NC_010475.1	1264237	1264325	+	89	10	12	8	36	124	44	91	291	19	31	16	19	7	11	27	41
gene-SYNPCC7002_RS00010	NC_010475.1	1	1350	+	1350	469	455	496	464	793	559	598	528	534	853	620	786	532	398	569	433
gene-SYNPCC7002_RS00015	NC_010475.1	1424	2353	+	930	520	482	532	490	700	426	478	487	620	734	409	518	541	430	591	428
gene-SYNPCC7002_RS00025	NC_010475.1	2832	3110	-	279	107	96	101	111	67	70	74	82	76	92	95	94	36	49	88	69
gene-SYNPCC7002_RS00030	NC_010475.1	3152	3406	-	255	169	173	217	201	105	80	97	113	125	154	98	168	103	94	120	75
gene-SYNPCC7002_RS00035	NC_010475.1	3441	4133	-	693	75	84	92	86	163	112	105	102	142	185	140	167	125	95	124	78
gene-SYNPCC7002_RS00040	NC_010475.1	4152	4796	-	645	408	320	304	316	930	592	512	472	1002	1191	875	961	824	486	813	596
gene-SYNPCC7002_RS00045	NC_010475.1	4889	5230	-	342	477	404	360	355	741	606	574	522	645	868	533	688	584	406	639	476
gene-SYNPCC7002_RS00050	NC_010475.1	5271	5630	-	360	116	60	86	76	133	97	84	68	146	117	93	133	108	62	80	92
gene-SYNPCC7002_RS00055	NC_010475.1	5742	6824	+	1083	1757	1491	1585	1524	2729	2563	2244	1953	859	1212	760	1255	1081	852	942	870
gene-SYNPCC7002_RS00060	NC_010475.1	7044	7613	+	570	659	478	762	599	693	557	505	446	239	363	317	426	262	149	224	247
gene-SYNPCC7002_RS16035	NC_010475.1	7646	8308	+	663	1230	1233	1720	1664	1162	869	744	834	361	589	352	428	435	250	318	315
gene-SYNPCC7002_RS00070	NC_010475.1	8305	9621	+	1317	2912	2928	3973	3439	2347	1841	1824	1617	845	1140	917	1312	1054	609	924	871
gene-SYNPCC7002_RS00075	NC_010475.1	9729	10484	+	756	2001	1531	1943	1599	2262	1704	1746	1574	1590	1812	1217	1577	1398	991	1311	1051
gene-SYNPCC7002_RS00080	NC_010475.1	10504	11418	+	915	372	289	373	301	739	594	545	479	406	452	387	447	420	209	362	292
gene-SYNPCC7002_RS00085	NC_010475.1	11402	11782	-	381	261	200	240	243	190	148	153	171	169	186	124	143	129	90	165	100
gene-SYNPCC7002_RS00090	NC_010475.1	11850	12152	-	303	373	326	360	395	255	183	187	158	204	255	167	178	182	105	175	132
gene-SYNPCC7002_RS00095	NC_010475.1	12398	12628	+	231	711	632	795	664	650	512	451	453	453	643	425	475	440	280	471	319
