Geneid	Chr	Start	End	Strand	Length	15percent_7002-5_CO2-RNA-seq	15percent_7002-6_CO2-RNA-seq	15percent_7002-7_CO2-RNA-seq	15percent_7002-8_CO2-RNA-seq	1percent_7002-1_CO2-RNA-seq	1percent_7002-2_CO2-RNA-seq	1percent_7002-3_CO2-RNA-seq	1percent_7002-4_CO2-RNA-seq
Candidate_RF01343_CRISPR-DR33	NC_010478.1	26728	26764	+	37	0	0	0	0	0	0	0	0
Candidate_RF01701_Cyano-1	NC_010475.1	1529205	1529274	-	70	2	4	2	2	2	0	0	0
Candidate_RF02514_5_ureB_sRNA	NC_010475.1	204269	204555	+	287	29	29	25	27	99	45	39	42
Candidate_RF02701_PsrR1	NC_010475.1	1264237	1264325	+	89	31	50	59	72	92	19	13	17
gene-SYNPCC7002_RS00010	NC_010475.1	1	1350	+	1350	981	802	964	2033	2431	1715	1174	1761
gene-SYNPCC7002_RS00015	NC_010475.1	1424	2353	+	930	1019	800	1043	1875	2770	2287	1487	2728
gene-SYNPCC7002_RS00025	NC_010475.1	2832	3110	-	279	55	63	105	129	184	149	120	177
gene-SYNPCC7002_RS00030	NC_010475.1	3152	3406	-	255	131	153	149	354	519	387	222	383
gene-SYNPCC7002_RS00035	NC_010475.1	3441	4133	-	693	167	171	183	381	506	330	234	293
gene-SYNPCC7002_RS00040	NC_010475.1	4152	4796	-	645	1341	1039	1332	2751	3002	1980	1557	2588
gene-SYNPCC7002_RS00045	NC_010475.1	4889	5230	-	342	905	737	805	1808	1767	1215	876	1550
gene-SYNPCC7002_RS00050	NC_010475.1	5271	5630	-	360	254	322	270	614	706	488	330	507
gene-SYNPCC7002_RS00055	NC_010475.1	5742	6824	+	1083	1532	1425	1587	3485	5742	4369	2679	4964
gene-SYNPCC7002_RS00060	NC_010475.1	7044	7613	+	570	468	549	598	1291	2421	1762	1175	2395
gene-SYNPCC7002_RS16035	NC_010475.1	7646	8308	+	663	350	335	352	825	1529	1058	806	1215
gene-SYNPCC7002_RS00070	NC_010475.1	8305	9621	+	1317	1029	1066	1188	2436	4273	2870	2043	3754
