Geneid	seqnames	start	end	strand	type	name	locus_tag	old_locus_tag	product	Z-Scaled expression 0.04%	Z-Scaled expression 4%	Z-Scaled expression 8%	Z-Scaled expression 30%	DE in ≥1 pairwsie comparisons	0.04->30% log2FC	0.04->30% FDR	0.04->4% log2FC	0.04->4% FDR	0.04->8% log2FC	0.04->8% FDR	4->30% log2FC	4->30% FDR	4->8% log2FC	4->8% FDR	8->30% log2FC	8->30% FDR	KEGG orthology 1	KEGG orthology 2	KEGG orthology 3	KEGG orthology 4	KEGG orthology 5	KEGG orthology 6	KEGG orthology 7	KEGG orthology 8	KEGG orthology 9	KEGG orthology 10	KEGG orthology 11	KEGG pathway 1	KEGG pathway 2	KEGG pathway 3	KEGG pathway 4	KEGG pathway 5	KEGG pathway 6	KEGG pathway 7	KEGG pathway 8	KEGG pathway 9	KEGG pathway 10	KEGG pathway 11	KEGG pathway 12	KEGG pathway 13	KEGG pathway 14	KEGG pathway 15	KEGG pathway 16	KEGG pathway 17	KEGG pathway 18	KEGG pathway 19	KEGG pathway 20	KEGG pathway 21	KEGG pathway 22	KEGG pathway 23	KEGG pathway 24	KEGG pathway 25	KEGG pathway 26	KEGG pathway 27
K00147_upstream.fna.motif.h1_1;High-covariation	NC_010475.1	608896	608927	+	CRS	K00147_upstream.fna.motif.h1_1;High-covariation	NA	NA	NA	0.9682458365518544	0.9682458365518544	0.9682458365518544	0.9682458365518544	no	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
K01889_upstream.fna.motif.h1_1;High-power	NC_010475.1	523054	523087	+	CRS	K01889_upstream.fna.motif.h1_1;High-power	NA	NA	NA	0.9682458365518544	0.9682458365518544	0.9682458365518544	0.9682458365518544	no	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
K02014_upstream.fna.motif.h1_4;High-covariation	NC_010475.1	1092827	1092864	+	CRS	K02014_upstream.fna.motif.h1_4;High-covariation	NA	NA	NA	0.9682458365518544	0.9682458365518544	0.9682458365518544	0.9682458365518544	no	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
K02094_upstream.fna.motif.h1_2.h1_4;High-covariation	NC_010475.1	2013215	2013311	-	CRS	K02094_upstream.fna.motif.h1_2.h1_4;High-covariation	NA	NA	NA	-0.8771785255269757	0.7153380734223813	1.0678314810446408	-0.9059910289400536	yes	-0.04209921655884646	0.8545512568426882	0.86790154302847	1.5602719828974964e-9	1.074477991565835	6.942807374001171e-14	-0.9100007595873164	2.7274427360485707e-10	0.2065764485373648	0.30653006158836826	-1.1165772081246814	5.702983199524887e-15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
K03320_upstream.fna.motif.h1_3;High-covariation	NC_010475.1	2297938	2297970	+	CRS	K03320_upstream.fna.motif.h1_3;High-covariation	NA	NA	NA	0.9682458365518544	0.9682458365518544	0.9682458365518544	0.9682458365518544	no	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
K03325_upstream.fna.motif.h2_1;High-power	NC_010475.1	619743	619799	-	CRS	K03325_upstream.fna.motif.h2_1;High-power	NA	NA	NA	0.9682458365518544	0.9682458365518544	0.9682458365518544	0.9682458365518544	no	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
K10716_upstream.fna.motif.h1_4;Conserved-sequence	NC_010475.1	339848	339892	-	CRS	K10716_upstream.fna.motif.h1_4;Conserved-sequence	NA	NA	NA	0.9682458365518544	0.9682458365518544	0.9682458365518544	0.9682458365518544	no	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
K03665_upstream.fna.motif.h1_2.h2_1;High-power	NC_010475.1	974488	974541	+	CRS	K03665_upstream.fna.motif.h1_2.h2_1;High-power	NA	NA	NA	-0.45245385169955976	0.0378009289738174	0.3323156907691323	0.08233723195661635	no	1.0851760333167657	NA	0.9396781055089342	NA	2.319675816445369	NA	0.14549792780783155	NA	1.3799977109364348	NA	-1.234499783128603	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
K21903_upstream.fna.motif.h2_1;High-covariation	NC_010475.1	2672077	2672139	+	CRS	K21903_upstream.fna.motif.h2_1;High-covariation	NA	NA	NA	-0.5452776575375039	-0.5452776575375039	-0.03758755112717896	1.128142866202192	no	2.963013718563952	NA	0	NA	1.171131283063903	NA	3.568796889787266	NA	1.7769144542872164	NA	1.7918824355000498	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
K04485_upstream.fna.motif.h2_3;High-power	NC_010475.1	1008001	1008057	-	CRS	K04485_upstream.fna.motif.h2_3;High-power	NA	NA	NA	0.750000000000003	-0.24999999999999692	-0.24999999999999692	-0.24999999999999692	no	-1.9606023550646063	NA	-2.099913616905497	NA	-1.7277221394262752	NA	0	NA	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
