Geneid	seqnames	start	end	strand	type	name	locus_tag	old_locus_tag	product
K00147_upstream.fna.motif.h1_1;High-covariation	NC_010475.1	608896	608927	+	CRS	K00147_upstream.fna.motif.h1_1;High-covariation	NA	NA	NA
K01889_upstream.fna.motif.h1_1;High-power	NC_010475.1	523054	523087	+	CRS	K01889_upstream.fna.motif.h1_1;High-power	NA	NA	NA
K02014_upstream.fna.motif.h1_4;High-covariation	NC_010475.1	1092827	1092864	+	CRS	K02014_upstream.fna.motif.h1_4;High-covariation	NA	NA	NA
K02094_upstream.fna.motif.h1_2.h1_4;High-covariation	NC_010475.1	2013215	2013311	-	CRS	K02094_upstream.fna.motif.h1_2.h1_4;High-covariation	NA	NA	NA
K03320_upstream.fna.motif.h1_3;High-covariation	NC_010475.1	2297938	2297970	+	CRS	K03320_upstream.fna.motif.h1_3;High-covariation	NA	NA	NA
K03325_upstream.fna.motif.h2_1;High-power	NC_010475.1	619743	619799	-	CRS	K03325_upstream.fna.motif.h2_1;High-power	NA	NA	NA
K10716_upstream.fna.motif.h1_4;Conserved-sequence	NC_010475.1	339848	339892	-	CRS	K10716_upstream.fna.motif.h1_4;Conserved-sequence	NA	NA	NA
K03665_upstream.fna.motif.h1_2.h2_1;High-power	NC_010475.1	974488	974541	+	CRS	K03665_upstream.fna.motif.h1_2.h2_1;High-power	NA	NA	NA
K21903_upstream.fna.motif.h2_1;High-covariation	NC_010475.1	2672077	2672139	+	CRS	K21903_upstream.fna.motif.h2_1;High-covariation	NA	NA	NA
K04485_upstream.fna.motif.h2_3;High-power	NC_010475.1	1008001	1008057	-	CRS	K04485_upstream.fna.motif.h2_3;High-power	NA	NA	NA
K04485_upstream.fna.motif.h1_3;High-power	NC_010475.1	1008015	1008057	-	CRS	K04485_upstream.fna.motif.h1_3;High-power	NA	NA	NA
K07086_upstream.fna.motif.h2_3;High-power	NC_010475.1	502378	502432	-	CRS	K07086_upstream.fna.motif.h2_3;High-power	NA	NA	NA
K07086_upstream.fna.motif.h1_1;Conserved-sequence	NC_010475.1	502385	502418	-	CRS	K07086_upstream.fna.motif.h1_1;Conserved-sequence	NA	NA	NA
K09121_upstream.fna.motif.h1_4;High-power	NC_010475.1	1795155	1795196	+	CRS	K09121_upstream.fna.motif.h1_4;High-power	NA	NA	NA
K09942_upstream.fna.motif.h2_1;High-power	NC_010475.1	175136	175182	-	CRS	K09942_upstream.fna.motif.h2_1;High-power	NA	NA	NA
K21703_upstream.fna.motif.h2_1;High-power	NC_010475.1	1241338	1241383	+	CRS	K21703_upstream.fna.motif.h2_1;High-power	NA	NA	NA
K02110_downstream.fna.motif.h1_5;High-covariation	NC_010475.1	768074	768129	-	CRS	K02110_downstream.fna.motif.h1_5;High-covariation	NA	NA	NA
Candidate_RF01343_CRISPR-DR33	NC_010478.1	26728	26764	+	CRISPR-DR33	RF01343_CRISPR-DR33	NA	NA	NA
Candidate_RF01701_Cyano-1	NC_010475.1	1529205	1529274	-	Cyano-1	RF01701_Cyano-1	NA	NA	NA
Candidate_RF02514_5_ureB_sRNA	NC_010475.1	204269	204555	+	5' ureB sRNA	RF02514_5_ureB_sRNA	NA	NA	NA
Candidate_RF02701_PsrR1	NC_010475.1	1264237	1264325	+	PsrR1	RF02701_PsrR1	NA	NA	NA
gene-SYNPCC7002_RS00010	NC_010475.1	1	1350	+	protein-coding	dnaA	SYNPCC7002_RS00010	SYNPCC7002_A0001	chromosomal replication initiator protein DnaA
gene-SYNPCC7002_RS00015	NC_010475.1	1424	2353	+	protein-coding	SYNPCC7002_RS00015	SYNPCC7002_RS00015	SYNPCC7002_A0002	cobalamin-binding protein
gene-SYNPCC7002_RS00025	NC_010475.1	2832	3110	-	protein-coding	nrtS2	SYNPCC7002_RS00025	SYNPCC7002_A0004	nitrate/nitrite transporter NrtS2
gene-SYNPCC7002_RS00030	NC_010475.1	3152	3406	-	protein-coding	nrtS1	SYNPCC7002_RS00030	SYNPCC7002_A0005	nitrate/nitrite transporter NrtS1
gene-SYNPCC7002_RS00035	NC_010475.1	3441	4133	-	protein-coding	SYNPCC7002_RS00035	SYNPCC7002_RS00035	SYNPCC7002_A0006	N-acetylmannosamine-6-phosphate 2-epimerase
gene-SYNPCC7002_RS00040	NC_010475.1	4152	4796	-	protein-coding	purN	SYNPCC7002_RS00040	SYNPCC7002_A0007	phosphoribosylglycinamide formyltransferase
gene-SYNPCC7002_RS00045	NC_010475.1	4889	5230	-	protein-coding	SYNPCC7002_RS00045	SYNPCC7002_RS00045	SYNPCC7002_A0008	phosphomannose isomerase type II C-terminal cupin domain
