Geneid	alanine	arginine	asparagine	aspartic.acid	cysteine	glutamine	glutamic.acid	glycine	histidine	isoleucine	leucine	lysine	methionine	phenylalanine	proline	serine	threonine	tryptophan	tyrosine	valine
gene-SYNPCC7002_RS00010	38	26	17	18	3	33	29	23	14	34	47	18	8	14	23	27	35	4	15	22
gene-SYNPCC7002_RS00015	23	18	8	23	8	25	18	18	5	17	42	11	3	5	23	13	13	5	7	23
gene-SYNPCC7002_RS00025	12	8	3	2	3	4	3	5	3	5	8	1	1	4	3	5	9	1	3	8
gene-SYNPCC7002_RS00030	7	6	2	1	2	4	1	6	5	5	8	2	3	3	3	7	8	1	3	6
gene-SYNPCC7002_RS00035	33	9	4	19	5	14	6	20	4	19	23	8	3	6	16	6	15	1	4	14
gene-SYNPCC7002_RS00040	28	10	9	9	3	7	10	13	6	19	21	8	4	5	12	14	10	2	4	19
gene-SYNPCC7002_RS00045	2	10	5	7	1	4	11	6	6	12	5	3	3	2	6	6	8	2	3	10
gene-SYNPCC7002_RS00050	10	8	5	6	2	8	8	7	0	5	11	9	2	4	5	7	9	4	3	5
gene-SYNPCC7002_RS00055	37	18	19	15	4	17	19	35	10	29	33	14	6	11	14	20	24	3	14	17
gene-SYNPCC7002_RS00060	8	7	8	11	3	9	15	13	4	13	18	11	3	7	6	16	13	2	13	8
gene-SYNPCC7002_RS16035	16	10	14	8	3	14	16	8	3	20	16	13	3	10	10	18	14	4	6	13
gene-SYNPCC7002_RS00070	23	15	28	26	8	25	37	24	8	30	51	43	9	17	17	26	13	6	14	17
gene-SYNPCC7002_RS00075	29	11	9	10	4	10	26	17	0	19	29	12	2	9	14	14	9	5	9	12
gene-SYNPCC7002_RS00080	24	17	13	22	4	18	15	26	13	13	28	11	2	14	15	13	18	8	8	21
gene-SYNPCC7002_RS00085	9	8	6	7	1	9	8	8	3	5	13	4	2	5	9	4	7	1	5	11
gene-SYNPCC7002_RS00090	10	5	2	4	2	7	6	5	2	3	15	4	2	6	4	7	8	2	1	4
gene-SYNPCC7002_RS00095	2	8	4	5	0	6	4	4	3	7	12	4	1	3	2	2	1	0	2	5
gene-SYNPCC7002_RS00100	54	29	17	22	2	22	43	33	10	32	65	29	7	24	23	23	23	6	11	36
gene-SYNPCC7002_RS00105	17	9	6	8	5	9	15	15	0	11	24	14	1	5	8	4	5	4	8	10
gene-SYNPCC7002_RS00110	25	12	10	18	4	21	8	26	9	14	40	8	3	10	22	16	13	9	8	18
gene-SYNPCC7002_RS00115	112	93	43	74	12	155	63	91	38	58	213	29	9	55	83	59	69	42	34	53
gene-SYNPCC7002_RS00120	22	18	7	9	0	30	22	13	1	24	37	6	1	5	29	14	19	7	7	10
gene-SYNPCC7002_RS00130	37	5	5	12	4	15	10	28	7	22	27	11	7	6	11	8	24	2	3	22
gene-SYNPCC7002_RS00135	54	25	11	16	3	30	30	31	10	30	61	18	5	12	20	22	31	7	13	20
gene-SYNPCC7002_RS00140	10	8	8	16	1	11	8	10	0	9	17	4	1	9	4	4	5	2	7	11
gene-SYNPCC7002_RS00145	32	20	7	26	4	28	22	19	10	23	50	14	2	11	22	12	20	11	10	15
gene-SYNPCC7002_RS00150	25	7	5	4	2	7	4	19	0	13	28	11	3	16	3	12	17	1	7	20
gene-SYNPCC7002_RS00155	41	11	6	13	5	36	10	21	8	20	49	17	4	10	23	16	21	6	8	17
gene-SYNPCC7002_RS00160	16	8	6	6	0	6	14	10	5	8	20	4	5	5	9	7	16	2	4	10
gene-SYNPCC7002_RS00165	31	21	13	26	2	16	35	31	10	41	62	16	10	11	20	27	27	4	4	31
gene-SYNPCC7002_RS00170	25	11	9	23	4	13	20	23	7	18	23	18	1	10	10	13	13	5	12	22
gene-SYNPCC7002_RS00175	40	35	13	39	2	21	51	37	11	37	58	34	11	23	22	21	32	3	14	33
gene-SYNPCC7002_RS00180	34	13	10	15	6	21	9	16	18	18	44	9	1	13	31	15	24	5	6	15
gene-SYNPCC7002_RS00185	26	11	17	25	6	15	17	18	8	18	43	28	7	8	20	13	20	4	8	23
