old_locus_tag	level1	level2	level3	level4	level5	level6
SYNPCC7002_A1965	DNA replication proteins	DNA Replication Initiation Factors	Initiation factors (bacterial)			
SYNPCC7002_A0001	DNA replication proteins	DNA Replication Initiation Factors	Initiation factors (bacterial)			
SYNPCC7002_A1271	DNA replication proteins	DNA Replication Initiation Factors	Initiation factors (bacterial)			
SYNPCC7002_A1879	DNA replication proteins	DNA Replication Initiation Factors	Initiation factors (bacterial)			
SYNPCC7002_A1345	DNA replication proteins	DNA Replication Initiation Factors	Initiation factors (bacterial)			
SYNPCC7002_A0119	DNA replication proteins	DNA Replication Initiation Factors	Initiation factors (bacterial)			
SYNPCC7002_A1408	DNA replication proteins	DNA Replication Elongation Factors	Elongation factors (bacterial)	DNA polymerase III holoenzyme		
SYNPCC7002_A2384	DNA replication proteins	DNA Replication Elongation Factors	Elongation factors (bacterial)	DNA polymerase III holoenzyme		
SYNPCC7002_A1263	DNA replication proteins	DNA Replication Elongation Factors	Elongation factors (bacterial)	DNA polymerase III holoenzyme		
SYNPCC7002_A1567	DNA replication proteins	DNA Replication Elongation Factors	Elongation factors (bacterial)	DNA polymerase III holoenzyme		
SYNPCC7002_A1256	DNA replication proteins	DNA Replication Elongation Factors	Elongation factors (bacterial)	DNA polymerase III holoenzyme		
SYNPCC7002_A1704	DNA replication proteins	DNA Replication Elongation Factors	Elongation factors (bacterial)	DNA polymerase III holoenzyme		
SYNPCC7002_A1706	DNA replication proteins	DNA Replication Elongation Factors	Elongation factors (bacterial)	RNase H		
SYNPCC7002_A2472	DNA replication proteins	DNA Replication Elongation Factors	Elongation factors (bacterial)	RNase H		
SYNPCC7002_A2647	DNA replication proteins	DNA Replication Elongation Factors	Elongation factors (bacterial)	Other elongation factors		
SYNPCC7002_A1706	DNA replication proteins	DNA Replication Elongation Factors	Elongation factors (archaeal)	RNase H		
SYNPCC7002_A2472	DNA replication proteins	DNA Replication Elongation Factors	Elongation factors (archaeal)	RNase H		
SYNPCC7002_A1620	DNA replication proteins	DNA Replication Termination Factors	DNA methylation enzymes			
SYNPCC7002_A0826	DNA replication proteins	DNA Topoisomerases				
SYNPCC7002_A1938	DNA replication proteins	DNA Topoisomerases				
SYNPCC7002_A1343	DNA replication proteins	DNA Topoisomerases				
SYNPCC7002_A2546	DNA replication proteins	DNA Topoisomerases				
SYNPCC7002_A1902	Proteasome	Eukaryotic proteasome	Assembling factors	Other assembling factors		
