Geneid	signal	type	name	locus_tag	old_locus_tag	product	is.de
gene-SYNPCC7002_RS00010	No SP	protein_coding	dnaA	SYNPCC7002_RS00010	SYNPCC7002_A0001	chromosomal replication initiator protein DnaA	FALSE
gene-SYNPCC7002_RS00015	No SP	protein_coding	SYNPCC7002_RS00015	SYNPCC7002_RS00015	SYNPCC7002_A0002	cobalamin-binding protein	TRUE
gene-SYNPCC7002_RS00025	No SP	protein_coding	nrtS2	SYNPCC7002_RS00025	SYNPCC7002_A0004	nitrate/nitrite transporter NrtS2	TRUE
gene-SYNPCC7002_RS00030	No SP	protein_coding	nrtS1	SYNPCC7002_RS00030	SYNPCC7002_A0005	nitrate/nitrite transporter NrtS1	TRUE
gene-SYNPCC7002_RS00035	No SP	protein_coding	SYNPCC7002_RS00035	SYNPCC7002_RS00035	SYNPCC7002_A0006	N-acetylmannosamine-6-phosphate 2-epimerase	FALSE
gene-SYNPCC7002_RS00040	No SP	protein_coding	purN	SYNPCC7002_RS00040	SYNPCC7002_A0007	phosphoribosylglycinamide formyltransferase	TRUE
gene-SYNPCC7002_RS00045	No SP	protein_coding	SYNPCC7002_RS00045	SYNPCC7002_RS00045	SYNPCC7002_A0008	phosphomannose isomerase type II C-terminal cupin domain	FALSE
gene-SYNPCC7002_RS00050	No SP	protein_coding	SYNPCC7002_RS00050	SYNPCC7002_RS00050	SYNPCC7002_A0009	Spx/MgsR family RNA polymerase-binding regulatory protein	FALSE
gene-SYNPCC7002_RS00055	No SP	protein_coding	SYNPCC7002_RS00055	SYNPCC7002_RS00055	SYNPCC7002_A0010	class I fructose-bisphosphate aldolase	TRUE
gene-SYNPCC7002_RS00060	No SP	protein_coding	SYNPCC7002_RS00060	SYNPCC7002_RS00060	SYNPCC7002_A0011	Uma2 family endonuclease	TRUE
gene-SYNPCC7002_RS16035	No SP	protein_coding	SYNPCC7002_RS16035	SYNPCC7002_RS16035	SYNPCC7002_A0012	NUDIX hydrolase	TRUE
gene-SYNPCC7002_RS00070	No SP	protein_coding	SYNPCC7002_RS00070	SYNPCC7002_RS00070	SYNPCC7002_A0013	hypothetical protein	TRUE
gene-SYNPCC7002_RS00075	No SP	protein_coding	SYNPCC7002_RS00075	SYNPCC7002_RS00075	SYNPCC7002_A0014	DUF1995 family protein	TRUE
gene-SYNPCC7002_RS00080	No SP	protein_coding	SYNPCC7002_RS00080	SYNPCC7002_RS00080	SYNPCC7002_A0015	TIGR04168 family protein	TRUE
gene-SYNPCC7002_RS00085	No SP	protein_coding	SYNPCC7002_RS00085	SYNPCC7002_RS00085	SYNPCC7002_A0016	VOC family protein	TRUE
gene-SYNPCC7002_RS00090	No SP	protein_coding	SYNPCC7002_RS00090	SYNPCC7002_RS00090	SYNPCC7002_A0017	hypothetical protein	TRUE
gene-SYNPCC7002_RS00095	No SP	protein_coding	SYNPCC7002_RS00095	SYNPCC7002_RS00095	SYNPCC7002_A0018	hypothetical protein	TRUE
gene-SYNPCC7002_RS00100	No SP	protein_coding	SYNPCC7002_RS00100	SYNPCC7002_RS00100	SYNPCC7002_A0019	AAA family ATPase	TRUE
gene-SYNPCC7002_RS00105	No SP	protein_coding	rsmD	SYNPCC7002_RS00105	SYNPCC7002_A0020	16S rRNA (guanine(966)-N(2))-methyltransferase RsmD	TRUE
gene-SYNPCC7002_RS00110	No SP	protein_coding	SYNPCC7002_RS00110	SYNPCC7002_RS00110	SYNPCC7002_A0021	alpha/beta fold hydrolase	TRUE
gene-SYNPCC7002_RS00115	No SP	protein_coding	SYNPCC7002_RS00115	SYNPCC7002_RS00115	SYNPCC7002_A0022	WD repeat-containing protein	TRUE
gene-SYNPCC7002_RS00120	No SP	protein_coding	SYNPCC7002_RS00120	SYNPCC7002_RS00120	SYNPCC7002_A0023	FtsQ-type POTRA domain-containing protein	FALSE
gene-SYNPCC7002_RS00130	No SP	protein_coding	thiD	SYNPCC7002_RS00130	SYNPCC7002_A0025	bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase	TRUE
gene-SYNPCC7002_RS00135	No SP	protein_coding	SYNPCC7002_RS00135	SYNPCC7002_RS00135	SYNPCC7002_A0026	GTP-binding protein	TRUE
gene-SYNPCC7002_RS00140	No SP	protein_coding	SYNPCC7002_RS00140	SYNPCC7002_RS00140	SYNPCC7002_A0027	hypothetical protein	TRUE
gene-SYNPCC7002_RS00145	No SP	protein_coding	SYNPCC7002_RS00145	SYNPCC7002_RS00145	SYNPCC7002_A0028	hypothetical protein	TRUE
gene-SYNPCC7002_RS00150	No SP	protein_coding	SYNPCC7002_RS00150	SYNPCC7002_RS00150	SYNPCC7002_A0029	LysE family translocator	TRUE
gene-SYNPCC7002_RS00155	No SP	protein_coding	csaB	SYNPCC7002_RS00155	SYNPCC7002_A0030	polysaccharide pyruvyl transferase CsaB	TRUE
gene-SYNPCC7002_RS00160	No SP	protein_coding	SYNPCC7002_RS00160	SYNPCC7002_RS00160	SYNPCC7002_A0031	DNA starvation/stationary phase protection protein	TRUE
gene-SYNPCC7002_RS00165	No SP	protein_coding	SYNPCC7002_RS00165	SYNPCC7002_RS00165	SYNPCC7002_A0033	hemolysin family protein	FALSE
gene-SYNPCC7002_RS00170	No SP	protein_coding	SYNPCC7002_RS00170	SYNPCC7002_RS00170	SYNPCC7002_A0034	3'(2'),5'-bisphosphate nucleotidase CysQ	TRUE
gene-SYNPCC7002_RS00175	No SP	protein_coding	lysS	SYNPCC7002_RS00175	SYNPCC7002_A0035	lysine--tRNA ligase	TRUE
gene-SYNPCC7002_RS00180	No SP	protein_coding	SYNPCC7002_RS00180	SYNPCC7002_RS00180	SYNPCC7002_A0036	hypothetical protein	TRUE
gene-SYNPCC7002_RS00185	No SP	protein_coding	trpS	SYNPCC7002_RS00185	SYNPCC7002_A0037	tryptophan--tRNA ligase	TRUE
gene-SYNPCC7002_RS00190	No SP	protein_coding	SYNPCC7002_RS00190	SYNPCC7002_RS00190	SYNPCC7002_A0038	methylenetetrahydrofolate reductase	TRUE
gene-SYNPCC7002_RS00195	No SP	protein_coding	SYNPCC7002_RS00195	SYNPCC7002_RS00195	SYNPCC7002_A0039	PhzF family phenazine biosynthesis protein	TRUE
gene-SYNPCC7002_RS00200	No SP	protein_coding	SYNPCC7002_RS00200	SYNPCC7002_RS00200	NA	PhzF family phenazine biosynthesis isomerase	TRUE
gene-SYNPCC7002_RS00205	No SP	protein_coding	ftsH3	SYNPCC7002_RS00205	SYNPCC7002_A0040	ATP-dependent zinc metalloprotease FtsH3	TRUE
gene-SYNPCC7002_RS00210	No SP	protein_coding	SYNPCC7002_RS00210	SYNPCC7002_RS00210	SYNPCC7002_A0041	translocation/assembly module TamB domain-containing protein	TRUE
gene-SYNPCC7002_RS00215	No SP	protein_coding	SYNPCC7002_RS00215	SYNPCC7002_RS00215	SYNPCC7002_A0042	hypothetical protein	TRUE
gene-SYNPCC7002_RS00220	No SP	protein_coding	SYNPCC7002_RS00220	SYNPCC7002_RS00220	SYNPCC7002_A0043	FAD-binding oxidoreductase	TRUE
gene-SYNPCC7002_RS00225	No SP	protein_coding	SYNPCC7002_RS00225	SYNPCC7002_RS00225	SYNPCC7002_A0044	hypothetical protein	TRUE
