Geneid	CO2	avg.z	seqnames	start	end	strand	type	name	locus_tag	old_locus_tag	product	string
Candidate_RF01343_CRISPR-DR33	0.04	0.9682458365518544	NC_010478.1	26728	26764	+	CRISPR-DR33	RF01343_CRISPR-DR33	NA	NA	NA	NA
Candidate_RF01343_CRISPR-DR33	4	0.9682458365518544	NC_010478.1	26728	26764	+	CRISPR-DR33	RF01343_CRISPR-DR33	NA	NA	NA	NA
Candidate_RF01343_CRISPR-DR33	8	0.9682458365518544	NC_010478.1	26728	26764	+	CRISPR-DR33	RF01343_CRISPR-DR33	NA	NA	NA	NA
Candidate_RF01343_CRISPR-DR33	30	0.9682458365518544	NC_010478.1	26728	26764	+	CRISPR-DR33	RF01343_CRISPR-DR33	NA	NA	NA	NA
Candidate_RF01701_Cyano-1	0.04	-0.4499758218734222	NC_010475.1	1529205	1529274	-	Cyano-1	RF01701_Cyano-1	NA	NA	NA	NA
Candidate_RF01701_Cyano-1	4	-0.4499758218734222	NC_010475.1	1529205	1529274	-	Cyano-1	RF01701_Cyano-1	NA	NA	NA	NA
Candidate_RF01701_Cyano-1	8	0.6043573040370882	NC_010475.1	1529205	1529274	-	Cyano-1	RF01701_Cyano-1	NA	NA	NA	NA
Candidate_RF01701_Cyano-1	30	0.29559433970976096	NC_010475.1	1529205	1529274	-	Cyano-1	RF01701_Cyano-1	NA	NA	NA	NA
Candidate_RF02514_5_ureB_sRNA	0.04	-1.0125837768079964	NC_010475.1	204269	204555	+	5' ureB sRNA	RF02514_5_ureB_sRNA	NA	NA	NA	NA
Candidate_RF02514_5_ureB_sRNA	4	0.5690273471764058	NC_010475.1	204269	204555	+	5' ureB sRNA	RF02514_5_ureB_sRNA	NA	NA	NA	NA
Candidate_RF02514_5_ureB_sRNA	8	0.23033917069860593	NC_010475.1	204269	204555	+	5' ureB sRNA	RF02514_5_ureB_sRNA	NA	NA	NA	NA
Candidate_RF02514_5_ureB_sRNA	30	0.21321725893297858	NC_010475.1	204269	204555	+	5' ureB sRNA	RF02514_5_ureB_sRNA	NA	NA	NA	NA
Candidate_RF02701_PsrR1	0.04	-0.44949561646604896	NC_010475.1	1264237	1264325	+	PsrR1	RF02701_PsrR1	NA	NA	NA	NA
Candidate_RF02701_PsrR1	4	-0.5003914609532145	NC_010475.1	1264237	1264325	+	PsrR1	RF02701_PsrR1	NA	NA	NA	NA
Candidate_RF02701_PsrR1	8	-0.37413944415653866	NC_010475.1	1264237	1264325	+	PsrR1	RF02701_PsrR1	NA	NA	NA	NA
Candidate_RF02701_PsrR1	30	1.3240265215757994	NC_010475.1	1264237	1264325	+	PsrR1	RF02701_PsrR1	NA	NA	NA	NA
K00147_upstream.fna.motif.h1_1;High-covariation	0.04	0.9682458365518544	NC_010475.1	608896	608927	+	CRS	K00147_upstream.fna.motif.h1_1;High-covariation	NA	NA	NA	NA
K00147_upstream.fna.motif.h1_1;High-covariation	4	0.9682458365518544	NC_010475.1	608896	608927	+	CRS	K00147_upstream.fna.motif.h1_1;High-covariation	NA	NA	NA	NA
K00147_upstream.fna.motif.h1_1;High-covariation	8	0.9682458365518544	NC_010475.1	608896	608927	+	CRS	K00147_upstream.fna.motif.h1_1;High-covariation	NA	NA	NA	NA
K00147_upstream.fna.motif.h1_1;High-covariation	30	0.9682458365518544	NC_010475.1	608896	608927	+	CRS	K00147_upstream.fna.motif.h1_1;High-covariation	NA	NA	NA	NA
K01889_upstream.fna.motif.h1_1;High-power	0.04	0.9682458365518544	NC_010475.1	523054	523087	+	CRS	K01889_upstream.fna.motif.h1_1;High-power	NA	NA	NA	NA
K01889_upstream.fna.motif.h1_1;High-power	4	0.9682458365518544	NC_010475.1	523054	523087	+	CRS	K01889_upstream.fna.motif.h1_1;High-power	NA	NA	NA	NA
K01889_upstream.fna.motif.h1_1;High-power	8	0.9682458365518544	NC_010475.1	523054	523087	+	CRS	K01889_upstream.fna.motif.h1_1;High-power	NA	NA	NA	NA
K01889_upstream.fna.motif.h1_1;High-power	30	0.9682458365518544	NC_010475.1	523054	523087	+	CRS	K01889_upstream.fna.motif.h1_1;High-power	NA	NA	NA	NA
K02014_upstream.fna.motif.h1_4;High-covariation	0.04	0.9682458365518544	NC_010475.1	1092827	1092864	+	CRS	K02014_upstream.fna.motif.h1_4;High-covariation	NA	NA	NA	NA
K02014_upstream.fna.motif.h1_4;High-covariation	4	0.9682458365518544	NC_010475.1	1092827	1092864	+	CRS	K02014_upstream.fna.motif.h1_4;High-covariation	NA	NA	NA	NA
K02014_upstream.fna.motif.h1_4;High-covariation	8	0.9682458365518544	NC_010475.1	1092827	1092864	+	CRS	K02014_upstream.fna.motif.h1_4;High-covariation	NA	NA	NA	NA
K02014_upstream.fna.motif.h1_4;High-covariation	30	0.9682458365518544	NC_010475.1	1092827	1092864	+	CRS	K02014_upstream.fna.motif.h1_4;High-covariation	NA	NA	NA	NA
K02094_upstream.fna.motif.h1_2.h1_4;High-covariation	0.04	-0.8771785255269757	NC_010475.1	2013215	2013311	-	CRS	K02094_upstream.fna.motif.h1_2.h1_4;High-covariation	NA	NA	NA	NA
K02094_upstream.fna.motif.h1_2.h1_4;High-covariation	4	0.7153380734223813	NC_010475.1	2013215	2013311	-	CRS	K02094_upstream.fna.motif.h1_2.h1_4;High-covariation	NA	NA	NA	NA
