Transcription-Units	Genes of transcription unit
TU220F-2460	SYNPCC7002_RS03210
TU220F-727	SYNPCC7002_RS04835
TU220F-2315	SYNPCC7002_RS07950
TU220F-45	SYNPCC7002_RS15045
TU220F-1979	SYNPCC7002_RS15235
TU220F-810	SYNPCC7002_RS05490 // SYNPCC7002_RS05485
TU220F-2169	SYNPCC7002_RS12985
TU220F-1567	SYNPCC7002_RS11270
TU220F-872	SYNPCC7002_RS05945
TU220F-2174	SYNPCC7002_RS12790
TU220F-1752	SYNPCC7002_RS12675
TU220F-862	SYNPCC7002_RS05870
TU220F-1983	SYNPCC7002_RS15255
TU220F-665	SYNPCC7002_RS04360
TU220F-543	SYNPCC7002_RS03445
TU220F-973	SYNPCC7002_RS06710 // SYNPCC7002_RS06705 // SYNPCC7002_RS06700
TU220F-110	SYNPCC7002_RS00200 // SYNPCC7002_RS00195 // SYNPCC7002_RS00190
TU220F-1324	SYNPCC7002_RS09470
TU220F-1341	SYNPCC7002_RS09590
TU220F-2343	SYNPCC7002_RS07070
TU220F-2226	SYNPCC7002_RS11140
TU220F-80	SYNPCC7002_RS14465 // SYNPCC7002_RS14460 // SYNPCC7002_RS14455 // SYNPCC7002_RS16505
TU220F-1800	SYNPCC7002_RS12995
TU220F-913	SYNPCC7002_RS06275
TU220F-1950	SYNPCC7002_RS14035
TU220F-2256	SYNPCC7002_RS10255
TU220F-277	SYNPCC7002_RS01425 // SYNPCC7002_RS01420
TU220F-1592	SYNPCC7002_RS11480
TU220F-2120	SYNPCC7002_RS14490
TU220F-221	SYNPCC7002_RS01035 // SYNPCC7002_RS01030
TU220F-997	SYNPCC7002_RS06865
TU220F-2357	SYNPCC7002_RS06670
TU220F-216	SYNPCC7002_RS00960
TU220F-174	SYNPCC7002_RS00680
TU220F-145	SYNPCC7002_RS00425
TU220F-2376	SYNPCC7002_RS06165
TU220F-2415	SYNPCC7002_RS04885
TU220F-1699	SYNPCC7002_RS12270
TU220F-1400	SYNPCC7002_RS09995
TU220F-1641	SYNPCC7002_RS11890 // SYNPCC7002_RS11885
TU220F-1710	SYNPCC7002_RS12345
TU220F-827	SYNPCC7002_RS05595
TU220F-1380	SYNPCC7002_RS09850 // SYNPCC7002_RS09845
TU220F-1461	SYNPCC7002_RS10460
TU220F-1869	SYNPCC7002_RS13475 // SYNPCC7002_RS13470
TU220F-1834	SYNPCC7002_RS13220
TU220F-1557	SYNPCC7002_RS11190
TU220F-1792	SYNPCC7002_RS12945
TU220F-2024	SYNPCC7002_RS15600
TU220F-501	SYNPCC7002_RS03110
TU220F-1826	SYNPCC7002_RS13175
TU220F-1169	SYNPCC7002_RS08245
TU220F-444	SYNPCC7002_RS02740
TU220F-1493	SYNPCC7002_RS10720
TU220F-2103	SYNPCC7002_RS16810
TU220F-1887	SYNPCC7002_RS13600
TU220F-2552	SYNPCC7002_RS16780
TU220F-250	SYNPCC7002_RS01210
TU220F-1152	SYNPCC7002_RS08100
TU220F-241	SYNPCC7002_RS01155
TU220F-1688	SYNPCC7002_RS12200
TU220F-2543	SYNPCC7002_RS00430
TU220F-2025	SYNPCC7002_RS15610 // SYNPCC7002_RS15605
TU220F-1581	SYNPCC7002_RS11380
TU220F-18	SYNPCC7002_RS14825
TU220F-1056	SYNPCC7002_RS07360
TU220F-330	SYNPCC7002_RS01855
TU220F-2432	SYNPCC7002_RS04385
TU220F-1677	SYNPCC7002_RS12125
TU220F-1777	SYNPCC7002_RS12865
TU220F-1969	SYNPCC7002_RS14150
TU220F-1764	SYNPCC7002_RS12775 // SYNPCC7002_RS12770
TU220F-1478	SYNPCC7002_RS10600
TU220F-83	SYNPCC7002_RS14190
TU220F-224	SYNPCC7002_RS01055
TU220F-1371	SYNPCC7002_RS09795
TU220F-1511	SYNPCC7002_RS10850
TU220F-941	SYNPCC7002_RS06485
TU220F-2365	SYNPCC7002_RS06385
TU220F-2504	SYNPCC7002_RS01680
TU220F-923	SYNPCC7002_RS06350
TU220F-911	SYNPCC7002_RS06255
TU220F-1864	SYNPCC7002_RS13440
TU220F-1309	SYNPCC7002_RS09340
TU220F-1655	SYNPCC7002_RS11985
TU220F-127	SYNPCC7002_RS00320
TU220F-557	SYNPCC7002_RS03540
TU220F-1419	SYNPCC7002_RS10155
TU220F-260	SYNPCC7002_RS01270
TU220F-765	SYNPCC7002_RS05145
TU220F-1224	SYNPCC7002_RS08650 // SYNPCC7002_RS08645 // SYNPCC7002_RS08640
TU220F-2289	SYNPCC7002_RS08915
TU220F-571	SYNPCC7002_RS03675 // SYNPCC7002_RS03670 // SYNPCC7002_RS03665 // SYNPCC7002_RS03660 // SYNPCC7002_RS03655
TU220F-2065	SYNPCC7002_RS15890
TU220F-2082	SYNPCC7002_RS14670 // SYNPCC7002_RS14665 // SYNPCC7002_RS14660 // SYNPCC7002_RS14655
TU220F-629	SYNPCC7002_RS04095 // SYNPCC7002_RS04090
TU220F-1787	SYNPCC7002_RS12920
TU220F-421	SYNPCC7002_RS02610
TU220F-623	SYNPCC7002_RS04060
TU220F-1187	SYNPCC7002_RS08360 // SYNPCC7002_RS08355
TU220F-2333	SYNPCC7002_RS07320
TU220F-1559	SYNPCC7002_RS11205
TU220F-1570	SYNPCC7002_RS11295
TU220F-481	SYNPCC7002_RS02965
TU220F-104	SYNPCC7002_RS16250
TU220F-306	SYNPCC7002_RS01630 // SYNPCC7002_RS01625
TU220F-290	SYNPCC7002_RS01505
TU220F-1283	SYNPCC7002_RS09140
TU220F-2204	SYNPCC7002_RS11995
TU220F-1150	SYNPCC7002_RS16135
TU220F-2379	SYNPCC7002_RS06070
TU220F-1441	SYNPCC7002_RS10310 // SYNPCC7002_RS10305
TU220F-202	SYNPCC7002_RS00870
TU220F-2474	SYNPCC7002_RS02510
TU220F-3	SYNPCC7002_RS14705 // SYNPCC7002_RS14700 // SYNPCC7002_RS14695
TU220F-2455	SYNPCC7002_RS03420
TU220F-2346	SYNPCC7002_RS06950
TU220F-2314	SYNPCC7002_RS16455
TU220F-697	SYNPCC7002_RS04580
TU220F-12	SYNPCC7002_RS14770
TU220F-895	SYNPCC7002_RS06135
TU220F-793	SYNPCC7002_RS05370
TU220F-1533	SYNPCC7002_RS11005
TU220F-2005	SYNPCC7002_RS15465
TU220F-1379	SYNPCC7002_RS09840
TU220F-213	SYNPCC7002_RS00945
TU220F-742	SYNPCC7002_RS04960
TU220F-916	SYNPCC7002_RS06295
TU220F-595	SYNPCC7002_RS03850 // SYNPCC7002_RS03845
TU220F-38	SYNPCC7002_RS15005 // SYNPCC7002_RS15000
TU220F-147	SYNPCC7002_RS00465 // SYNPCC7002_RS00460 // SYNPCC7002_RS00455
TU220F-1783	SYNPCC7002_RS12900 // SYNPCC7002_RS12895
TU220F-1754	SYNPCC7002_RS12690 // SYNPCC7002_RS12685
TU220F-1990	SYNPCC7002_RS15305
TU220F-806	SYNPCC7002_RS05465
TU220F-2335	SYNPCC7002_RS07290
TU220F-461	SYNPCC7002_RS02850
TU220F-350	SYNPCC7002_RS02015 // SYNPCC7002_RS02010
TU220F-1290	SYNPCC7002_RS09180
TU220F-1001	SYNPCC7002_RS06895
TU220F-2521	SYNPCC7002_RS01235
TU220F-1607	SYNPCC7002_RS11605 // SYNPCC7002_RS16190
TU220F-2161	SYNPCC7002_RS13215
TU220F-1672	SYNPCC7002_RS16195
TU220F-830	SYNPCC7002_RS05615
TU220F-614	SYNPCC7002_RS03995
TU220F-1300	SYNPCC7002_RS09250
TU220F-51	SYNPCC7002_RS15100
TU220F-1914	SYNPCC7002_RS13820
TU220F-47	SYNPCC7002_RS15060 // SYNPCC7002_RS15055
TU220F-160	SYNPCC7002_RS00555
TU220F-1965	SYNPCC7002_RS14120
TU220F-352	SYNPCC7002_RS02030 // SYNPCC7002_RS02025
TU220F-2244	SYNPCC7002_RS10610
TU220F-2278	SYNPCC7002_RS09295
TU220F-533	SYNPCC7002_RS03365
TU220F-2262	SYNPCC7002_RS09970
TU220F-1104	SYNPCC7002_RS07795 // SYNPCC7002_RS07790 // SYNPCC7002_RS07785 // SYNPCC7002_RS07780
TU220F-1354	SYNPCC7002_RS09665
TU220F-1926	SYNPCC7002_RS13880
TU220F-1010	SYNPCC7002_RS06970
TU220F-1111	SYNPCC7002_RS07845
TU220F-26	SYNPCC7002_RS14895 // SYNPCC7002_RS14890
TU220F-853	SYNPCC7002_RS05790 // SYNPCC7002_RS05785 // SYNPCC7002_RS05780
TU220F-781	SYNPCC7002_RS05280
TU220F-437	SYNPCC7002_RS02705
TU220F-1154	SYNPCC7002_RS08110
TU220F-2423	SYNPCC7002_RS04790
TU220F-580	SYNPCC7002_RS03735 // SYNPCC7002_RS03730 // SYNPCC7002_RS03725
TU220F-1323	SYNPCC7002_RS09465
TU220F-314	SYNPCC7002_RS01715 // SYNPCC7002_RS01710
TU220F-1469	SYNPCC7002_RS10530
TU220F-214	SYNPCC7002_RS00950
TU220F-2146	SYNPCC7002_RS13755
TU220F-2111	SYNPCC7002_RS14245 // SYNPCC7002_RS14240 // SYNPCC7002_RS14235
